id,label,kind,latency_s,latency_min_s,latency_max_s,throughput_tps,net_system_energy_j,energy_min_j,energy_max_j,runtime,campaign
direct_gpu,iGPU E2E,measured,0.9464181941002607,0.9462052118033171,0.9482075925916433,2197.7599468883955,27.713513875514373,26.103456571834307,28.263397993840652,2026.3.0-22451-8a17657b995-releases/2026/3,2026-09-04_real-hetero-llm
npuw_gpu_correct,iGPU NPUW E2E,measured,1.2296697665005922,1.2264981027692556,1.2427924573421478,1691.5110517186147,38.51228596615434,38.039588834544375,38.73256761860739,2026.3.0-22451-8a17657b995-releases/2026/3,2026-09-04_real-hetero-llm
npuw_optimal,NPUW optimal E2E*,modeled,0.9676525381002608,,,2149.531901278893,,,,2026.3.0 (compute profiles),September 7 compute substitution / September 4 anchor
npuw_hybrid_correct,NPUW real E2E,measured,1.854726543650031,1.8533268813043833,1.8629825487732887,1121.459121357394,57.813956719830244,57.41040311580184,58.38171342991891,2026.3.0-22451-8a17657b995-releases/2026/3,2026-09-04_real-hetero-llm
direct_npu,NPU E2E,measured,0.840327262878418,0.8388038035482168,0.8420541808009148,2475.2261313946483,16.27920216629202,15.83203786371946,16.534131316967994,2026.3.0-22451-8a17657b995-releases/2026/3,2026-09-04_real-hetero-llm
