campaign,model,condition,mode,n,median_s,min_s,max_s,paired_ratio_median,paired_ratio_min,paired_ratio_max,quiet_output_matches,median_first_ttft_s,median_step_generation_tps,max_peak_gpu_gb,allocation_min_gib,allocation_max_gib
main_fault,4b,fault,agentic,3,13.617241707979701,13.567592707986478,13.932596708007623,1.0057590599835153,1.0007230528858553,1.0239365509187872,3,0.23592962499242276,70.85953366857339,6.040549572,0.0,0.0
main_fault,4b,fault,one_shot,3,4.887161374965217,4.635790208994877,4.98231674998533,1.0576562222446182,1.0156832316815771,1.0722870841525263,3,1.0973054580390453,69.05548826747213,5.982733668,0.0,0.0
main_fault,4b,quiet,agentic,3,13.557789709011558,13.539268249995075,13.606894582975656,1.0,1.0,1.0,3,0.2368736659991555,72.02644538192258,6.040549572,0.0,0.0
main_fault,4b,quiet,one_shot,3,4.620746583037544,4.564208667026833,4.646439207950607,1.0,1.0,1.0,3,0.8620867090066895,69.61235231298762,5.982733668,0.0,0.0
main_gpu,4b,gpu,agentic,3,74.69746841600863,67.73467266699299,78.58855495898752,5.563335143732041,5.004614905054328,5.838893211357786,3,1.0704196249716915,10.791435457542196,6.040549572,0.0,0.0
main_gpu,4b,gpu,one_shot,3,27.27583279198734,26.8257883330225,28.75367958395509,6.009764945724955,5.790415009548287,6.220295332393933,3,3.078249540994875,10.862766808727603,5.982733668,0.0,0.0
main_gpu,4b,quiet,agentic,3,13.45949516701512,13.426742499985266,13.534442499978468,1.0,1.0,1.0,3,0.2383117499994114,72.57415289858054,6.040549572,0.0,0.0
main_gpu,4b,quiet,one_shot,3,4.622558584029321,4.53858562494861,4.632792000018526,1.0,1.0,1.0,3,0.8628702500136569,69.73525772489668,5.982733668,0.0,0.0
main_memory,4b,quiet,agentic,1,13.445618040976115,13.445618040976115,13.445618040976115,1.0,1.0,1.0,1,0.23547700000926852,72.6419910762927,6.040549572,0.0,0.0
main_memory,4b,quiet,one_shot,1,4.614214292028919,4.614214292028919,4.614214292028919,1.0,1.0,1.0,1,0.8558709589997306,69.74643263578513,5.982733668,0.0,0.0
