name,complete,cache_gb,wall_s,ttft_s,tokens,generation_tps_mean,peak_gpu_gb,words,calls,stop_reason,min_available_gib,max_thermal,swapout_delta_bytes
agentic,True,2,290.2301011669915,8.95921208296204,239,1.596859739687594,8.752846208,127,4,,2.61871337890625,0,0
one_shot,True,2,258.00463404197944,35.29819483298343,324,1.455019245933529,7.33335244,211,1,,3.0297393798828125,0,0
smoke,True,0.75,25.966533833998255,5.376410000026226,28,1.3601450165787186,5.879544992,24,1,,4.0859832763671875,0,0
smoke_cache2,True,2,18.84570583398454,3.5835887090070173,28,1.8352576692741198,7.135102788,24,1,,3.3275299072265625,0,0
