"(PDH-CSV 4.0) (Central Daylight Time)(300)","\\MAC\Memory\Available MBytes","\\MAC\Memory\Pages/sec","\\MAC\Memory\Page Faults/sec","\\MAC\Memory\Cache Bytes","\\MAC\PhysicalDisk(_Total)\Disk Read Bytes/sec","\\MAC\PhysicalDisk(_Total)\Disk Write Bytes/sec","\\MAC\PhysicalDisk(_Total)\% Disk Time","\\MAC\Processor(_Total)\% Processor Time"
"04/14/2026 14:59:10.409","60185"," "," ","2100514816"," "," "," "," "
"04/14/2026 14:59:11.422","59932","21945.270465538997087","101323.90169024182251","2100715520","89679117.78315064311","254697.00247780009522","33.560956239225788522","3.8719018454793752149"
"04/14/2026 14:59:12.434","59726","5771.595625802550785","372853.97200914483983","2135015424","23625781.599066030234","125488.72023662753054","16.10905505950468708","8.1065685560705702528"
"04/14/2026 14:59:13.454","59367","30.395098035466769915","470743.59058077487862","2170662912","120482.24666445665935","124498.32155327188957","4.8281607463286828619","8.9452161944821853012"
"04/14/2026 14:59:14.475","59360","0","11389.334368424855711","2170662912","0","8017.6529299764897587","0.91663948185703914007","3.2240841655408636335"
"04/14/2026 14:59:15.496","59331","0","62339.474945647336426","2171383808","0","28094.456636041566526","3.7526278477638981279","3.6412379679969686386"
"04/14/2026 14:59:16.520","59342","0.97611562206677260356","32030.258022499074286","2171445248","0","179917.63145934752538","1.8775170372799698804","4.7761093509338099494"
"04/14/2026 14:59:17.523","59412","0","46833.788412546164182","2100658176","0","61264.434510024620977","2.7591874113351946285","6.3229903234147126767"
"04/14/2026 14:59:18.547","59405","0.97631479825723899157","26816.43856373158269","2101460992","0","111971.59158252622001","2.6774675575416422291","3.7011276204275134205"
"04/14/2026 14:59:19.551","59398","32.871033786043838631","60725.748597950805561","2102059008","0","326399.40457608620636","0.20669856764367516844","6.0284259839324949581"
"04/14/2026 14:59:20.567","59395","0","25489.801667111205461","2101862400","0","68558.301583077263786","1.8984924634000075461","4.4772711676524190594"
"04/14/2026 14:59:21.574","59391","0","24812.543443045906315","2101862400","0","44727.103715538163669","2.8914808901073461023","5.4287053623015228965"
"04/14/2026 14:59:22.593","59397","0.98128570408034299088","23863.887037529861118","2101862400","0","8038.6924878261697813","0.94969117325706708943","3.4103849032995015023"
"04/14/2026 14:59:23.612","59396","0","24011.657082196823467","2101866496","0","56302.11251723481837","3.1277124544273298135","4.6031207615023328472"
"04/14/2026 14:59:24.626","59404","0","23480.347382966439909","2101866496","0","8075.1891587431173321","0.89357752001873913539","4.5435912825321782549"
"04/14/2026 14:59:25.647","59412","0","48071.165082818086375","2101866496","0","48173.093829527701018","4.5454229156132859302","4.9590753066693586959"
"04/14/2026 14:59:26.657","59411","0","25749.507861009078624","2101866496","0","137853.36034888587892","0.93621036865825790763","4.5009698928396568718"
"04/14/2026 14:59:27.672","59408","0","24985.979317572098807","2101800960","0","24214.496932396858028","4.8033955215681967132","4.452271932981865632"
"04/14/2026 14:59:28.686","59409","1.9727916520926684907","27682.21246216432337","2102464512","0","339383.29349280596944","2.0355481114757529859","7.0427636738112031622"
"04/14/2026 14:59:29.701","59392","47.29197761552469359","57177.971436236672162","2101219328","0","238099.34330162833794","0.28452209834604169636","6.4777005633001589757"
"04/14/2026 14:59:30.716","59403","0.98475365008787940635","53027.014549932129739","2102915072","0","12100.65285227986169","0.89911111176768665487","6.4668477829991966033"
"04/14/2026 14:59:31.738","59401","0","25154.711850554434932","2101968896","0","248505.77234388858778","2.2455423638712468382","5.6418398187347174044"
"04/14/2026 14:59:32.743","59406","0","24175.030685262056068","2101968896","0","89674.406829553132411","1.0355596828174262747","4.2203928645963006971"
"04/14/2026 14:59:33.762","59404","0","23885.071521326335642","2101972992","0","20088.138670147563971","3.5718097001749828934","4.0226850071797937147"
"04/14/2026 14:59:34.782","59406","0.98131911859879417115","24918.636378579180018","2102788096","0","196954.67237925238442","1.9495866001516439781","4.5571471480517882213"
"04/14/2026 14:59:35.805","59424","0","48262.564298210993002","2102243328","0","20013.714476023265888","1.0967061000221525191","6.051622540089452329"
"04/14/2026 14:59:36.821","59422","0","24627.080004496085166","2102243328","0","68535.743370491632959","1.902970364278257609","5.0724220396885293383"
"04/14/2026 14:59:37.847","59425","0","24153.996268890132342","2102177792","0","55875.055953981027415","1.1803829621554882134","5.2302636835252052094"
"04/14/2026 14:59:38.868","59426","0","25165.564211675275146","2102407168","0","28093.250937437838729","1.8412051218009688469","6.1780335257518137482"
"04/14/2026 14:59:39.877","59417","32.699384746212643904","57107.989123590101372","2102329344","0","117701.93083921584184","0.60511162403346441252","5.0649893233666309911"
"04/14/2026 14:59:40.895","59411","0","24233.347981822782458","2102333440","0","538996.32478401670232","1.8787730781365394872","4.6339455687925523719"
"04/14/2026 14:59:41.913","59415","0","26401.577631531257794","2102370304","0","209208.85534785914933","3.1092778823313573788","4.951711436572725944"
