run_id,status,error,timestamp_utc,pilot_mode,condition_name,pressure_mode,requested_fraction_of_ram,actual_fraction_of_ram,requested_size_bytes,actual_size_bytes,trial_id,request_index,model_name,prompt_id,max_tokens,temperature,latency_ms,response_chars,response_digest,eval_count,eval_duration_ns,prompt_eval_count,prompt_eval_duration_ns,total_duration_ns,load_duration_ns,tokens_per_second
pilot=1|mode=file_seq|requested=0.0200|actual_bytes=2054881280|trial=1,ok,,2026-04-05T21:11:51Z,True,file_seq__req_0.02x__actual_0.02x,file_seq,0.02,0.01999996890452929,2054881280,2054881280,1,0,qwen3:4b,locality_prompt_v1,64,0.0,1423.6076999804936,0,e3b0c44298fc1c14,64,1098854100,24,227234100,1420989200,90059400,58.24249097309642
pilot=1|mode=file_seq|requested=0.0200|actual_bytes=2054881280|trial=1,ok,,2026-04-05T21:11:53Z,True,file_seq__req_0.02x__actual_0.02x,file_seq,0.02,0.01999996890452929,2054881280,2054881280,1,1,qwen3:4b,locality_prompt_v1,64,0.0,1008.6053999839351,0,e3b0c44298fc1c14,64,880350600,24,16425600,1006570900,108003500,72.69830906004948
pilot=1|mode=file_seq|requested=0.0200|actual_bytes=2054881280|trial=1,ok,,2026-04-05T21:11:54Z,True,file_seq__req_0.02x__actual_0.02x,file_seq,0.02,0.01999996890452929,2054881280,2054881280,1,2,qwen3:4b,locality_prompt_v1,64,0.0,1015.2552000363357,0,e3b0c44298fc1c14,64,895734500,24,14599500,1013474200,100517200,71.44974319957532
pilot=1|mode=file_seq|requested=0.0200|actual_bytes=2054881280|trial=1,ok,,2026-04-05T21:11:55Z,True,file_seq__req_0.02x__actual_0.02x,file_seq,0.02,0.01999996890452929,2054881280,2054881280,1,3,qwen3:4b,locality_prompt_v1,64,0.0,1030.1769000361674,0,e3b0c44298fc1c14,64,905935200,24,14595000,1028501800,104840400,70.64522937181378
pilot=1|mode=file_seq|requested=0.0200|actual_bytes=2054881280|trial=1,ok,,2026-04-05T21:11:56Z,True,file_seq__req_0.02x__actual_0.02x,file_seq,0.02,0.01999996890452929,2054881280,2054881280,1,4,qwen3:4b,locality_prompt_v1,64,0.0,1006.9316999870352,0,e3b0c44298fc1c14,64,890437600,24,15001900,1004933600,95354200,71.87477258372736
pilot=1|mode=file_seq|requested=0.0500|actual_bytes=5137207296|trial=1,ok,,2026-04-05T21:12:00Z,True,file_seq__req_0.05x__actual_0.05x,file_seq,0.05,0.049999962127311316,5137207296,5137207296,1,0,qwen3:4b,locality_prompt_v1,64,0.0,1327.66290003201,0,e3b0c44298fc1c14,64,1160187700,24,58728500,1325362200,102076200,55.16348777012547
pilot=1|mode=file_seq|requested=0.0500|actual_bytes=5137207296|trial=1,ok,,2026-04-05T21:12:02Z,True,file_seq__req_0.05x__actual_0.05x,file_seq,0.05,0.049999962127311316,5137207296,5137207296,1,1,qwen3:4b,locality_prompt_v1,64,0.0,1007.4775999528356,0,e3b0c44298fc1c14,64,893080000,24,15395100,1005585600,94501500,71.66211313656112
pilot=1|mode=file_seq|requested=0.0500|actual_bytes=5137207296|trial=1,ok,,2026-04-05T21:12:03Z,True,file_seq__req_0.05x__actual_0.05x,file_seq,0.05,0.049999962127311316,5137207296,5137207296,1,2,qwen3:4b,locality_prompt_v1,64,0.0,1037.0044999872334,0,e3b0c44298fc1c14,64,923222700,24,15581400,1034919700,92693700,69.32238559558816
pilot=1|mode=file_seq|requested=0.0500|actual_bytes=5137207296|trial=1,ok,,2026-04-05T21:12:04Z,True,file_seq__req_0.05x__actual_0.05x,file_seq,0.05,0.049999962127311316,5137207296,5137207296,1,3,qwen3:4b,locality_prompt_v1,64,0.0,1006.5371000091545,0,e3b0c44298fc1c14,64,891610400,24,15297400,1004683000,95246100,71.78023046837498
pilot=1|mode=file_seq|requested=0.0500|actual_bytes=5137207296|trial=1,ok,,2026-04-05T21:12:05Z,True,file_seq__req_0.05x__actual_0.05x,file_seq,0.05,0.049999962127311316,5137207296,5137207296,1,4,qwen3:4b,locality_prompt_v1,64,0.0,1005.5045000044629,0,e3b0c44298fc1c14,64,889119200,24,14887400,1003271900,95743600,71.98134963231027
