model,condition,mode,n,wall_s_median,wall_s_min,wall_s_max,effective_tps_median,effective_tps_min,effective_tps_max,decode_tps_median,decode_tps_min,decode_tps_max,generated_tokens_median,generated_tokens_min,generated_tokens_max,words_median,words_min,words_max,paired_latency_ratio,paired_throughput_ratio,exact_work_matches,cached_input_tokens_median,cached_input_tokens_min,cached_input_tokens_max,reasoning_output_tokens_median,reasoning_output_tokens_min,reasoning_output_tokens_max,cache_matches
35b,quiet,agentic,3,419.2751159580657,412.10169687494636,428.54094720899593,0.5700314445179329,0.5577063325139888,0.5799539332460584,0.8820757030796936,0.8548208024723842,0.8857352360606955,239,239,239,127,127,127,,,,,,,,,,
35b,quiet,one_shot,3,422.2730553339934,411.21831866702996,430.8607089999132,0.7672760454576835,0.7519831658636232,0.7879026426892912,0.8608003441004717,0.8432930264989245,0.8863434331464433,324,324,324,211,211,211,,,,,,,,,,
4b,browser,agentic,3,13.59548433299642,11.572928959038109,14.097910666023381,34.643855890950256,33.409205885743894,40.69842661845455,67.94161209741102,67.81277333245586,80.60273505448552,471,471,471,88,88,88,1.0834372599820505,0.9229883786870751,3,,,,,,,
4b,browser,one_shot,3,4.663073500036262,4.5313062919303775,5.074946834007278,55.97166761321055,51.429110202896304,57.59928444139927,68.32557841099617,67.86623928147019,80.20637006887387,261,261,261,174,174,174,1.1031049274710651,0.9065320760487949,3,,,,,,,
4b,combined,agentic,3,14.916552290902473,12.800873417058028,15.36333129205741,31.575661105499588,30.6574134897097,36.79436431051343,62.46799441173235,62.0875761008694,73.947260747258,471,471,471,88,88,88,1.1887144397799079,0.8412449336319591,3,,,,,,,
4b,combined,one_shot,3,5.131648499984294,4.851532500004396,5.616481584031135,50.86084910157015,46.470374040231725,53.797434109688744,61.82699907903312,61.42392603760132,73.52126224497475,261,261,261,174,174,174,1.203956965775771,0.8305944717514459,3,,,,,,,
4b,fault,agentic,3,13.427106749964878,13.253927250043489,13.812331333057955,35.078294138179245,34.099963912154706,35.53663688613158,70.25824049419079,68.89001931743114,72.05610462130674,471,471,471,88,88,88,1.0635853551968406,0.9402160297843959,3,,,,,,,
4b,fault,one_shot,3,4.967312082997523,4.332683457992971,5.128599458024837,52.54350756284667,50.8910867647516,60.23980346833439,70.02730192827565,69.9736851370293,72.94258079054241,261,261,261,174,174,174,1.1425500060621279,0.875235214821419,3,,,,,,,
4b,game,agentic,3,14.534838084015064,12.271186541998759,14.548682250082493,32.40490174555094,32.37406604280806,38.38259636816526,64.82864013385344,64.44575373129699,77.11088909795009,471,471,471,88,88,88,1.152427374470709,0.8677336395790526,3,,,,,,,
4b,game,one_shot,3,4.964325999957509,4.260337125044316,5.021842792048119,52.57511291608044,51.97295311858084,61.26275746248252,64.11077425251715,63.549142935838525,76.62818751519882,261,261,261,174,174,174,1.1550928181333864,0.8657312938850973,3,,,,,,,
4b,gpu,agentic,3,63.50984483293723,63.44180683395825,72.2521287080599,7.416173055358054,6.518839076743476,7.424126510657475,12.382675342450552,11.583193049758567,12.42029489411997,471,471,471,88,88,88,5.061160792976129,0.19758313179612835,3,,,,,,,
