2026-04-05 20:23:29 | INFO | __main__ | Logging to D:\Develop\Transfer\UW-Madison\Courses\CS537\papers\measurement\results\logs\run_20260405_202329.log
2026-04-05 20:23:29 | INFO | runner | Detected total RAM: 95.69 GiB
2026-04-05 20:23:29 | INFO | runner | Using config file: D:\Develop\Transfer\UW-Madison\Courses\CS537\papers\measurement\config\default.yaml
2026-04-05 20:23:29 | INFO | runner | File-backed pressure cap is 347.03 GiB based on existing file=143.53 GiB and allowed disk growth=203.50 GiB
2026-04-05 20:23:29 | INFO | runner | Planned 48 conditions
2026-04-05 20:23:29 | INFO | runner | Reusing pressure data file D:\Develop\Transfer\UW-Madison\Courses\CS537\papers\measurement\data\pressure_data.bin (143.53 GiB)
2026-04-05 20:23:29 | INFO | inference_client | Running Ollama warmup request against model qwen3:4b
2026-04-05 20:23:31 | INFO | runner | Warmup completed in 2254.01 ms
2026-04-05 20:23:31 | INFO | runner | Running condition=none trial=1 requested=0.00 B planned=0.00 B
2026-04-05 20:23:52 | INFO | runner | Completed run_id=pilot=0|mode=none|requested=0.0000|actual_bytes=0|trial=1 status=completed successes=20 errors=0 actual=0.00 B
2026-04-05 20:23:52 | INFO | runner | Running condition=none trial=2 requested=0.00 B planned=0.00 B
2026-04-05 20:24:12 | INFO | runner | Completed run_id=pilot=0|mode=none|requested=0.0000|actual_bytes=0|trial=2 status=completed successes=20 errors=0 actual=0.00 B
2026-04-05 20:24:12 | INFO | runner | Running condition=none trial=3 requested=0.00 B planned=0.00 B
2026-04-05 20:24:32 | INFO | runner | Completed run_id=pilot=0|mode=none|requested=0.0000|actual_bytes=0|trial=3 status=completed successes=20 errors=0 actual=0.00 B
2026-04-05 20:24:32 | INFO | runner | Running condition=file_seq trial=1 requested=9.57 GiB planned=9.57 GiB
2026-04-05 20:24:34 | INFO | pressure_manager | Started pressure worker mode=file_seq pid=47968 requested=10274418688 actual=10274418688
2026-04-05 20:24:58 | INFO | runner | Completed run_id=pilot=0|mode=file_seq|requested=0.1000|actual_bytes=10274418688|trial=1 status=completed successes=20 errors=0 actual=9.57 GiB
2026-04-05 20:24:58 | INFO | runner | Running condition=file_seq trial=2 requested=9.57 GiB planned=9.57 GiB
2026-04-05 20:25:00 | INFO | pressure_manager | Started pressure worker mode=file_seq pid=28000 requested=10274418688 actual=10274418688
2026-04-05 20:25:24 | INFO | runner | Completed run_id=pilot=0|mode=file_seq|requested=0.1000|actual_bytes=10274418688|trial=2 status=completed successes=20 errors=0 actual=9.57 GiB
2026-04-05 20:25:24 | INFO | runner | Running condition=file_seq trial=3 requested=9.57 GiB planned=9.57 GiB
2026-04-05 20:25:26 | INFO | pressure_manager | Started pressure worker mode=file_seq pid=55140 requested=10274418688 actual=10274418688
2026-04-05 20:25:50 | INFO | runner | Completed run_id=pilot=0|mode=file_seq|requested=0.1000|actual_bytes=10274418688|trial=3 status=completed successes=20 errors=0 actual=9.57 GiB
2026-04-05 20:25:50 | INFO | runner | Running condition=file_seq trial=1 requested=19.14 GiB planned=19.14 GiB
2026-04-05 20:25:52 | INFO | pressure_manager | Started pressure worker mode=file_seq pid=46388 requested=20548841472 actual=20548841472
2026-04-05 20:26:17 | INFO | runner | Completed run_id=pilot=0|mode=file_seq|requested=0.2000|actual_bytes=20548841472|trial=1 status=completed successes=20 errors=0 actual=19.14 GiB
2026-04-05 20:26:17 | INFO | runner | Running condition=file_seq trial=2 requested=19.14 GiB planned=19.14 GiB
2026-04-05 20:26:19 | INFO | pressure_manager | Started pressure worker mode=file_seq pid=29564 requested=20548841472 actual=20548841472
