2026-04-14 21:49:25 | INFO | __main__ | Logging to D:\Develop\Transfer\UW-Madison\Courses\CS537\papers\measurement\results\logs\run_20260414_214925.log
2026-04-14 21:49:25 | INFO | runner | Detected total RAM: 95.69 GiB
2026-04-14 21:49:25 | INFO | runner | Using config file: D:\Develop\Transfer\UW-Madison\Courses\CS537\papers\measurement\config\default.yaml
2026-04-14 21:49:25 | INFO | runner | File-backed pressure cap is 346.00 GiB based on existing file=143.53 GiB and allowed disk growth=202.47 GiB
2026-04-14 21:49:25 | INFO | runner | Planned 48 conditions
2026-04-14 21:49:25 | INFO | runner | Reusing pressure data file D:\Develop\Transfer\UW-Madison\Courses\CS537\papers\measurement\data\pressure_data.bin (143.53 GiB)
2026-04-14 21:49:25 | INFO | inference_client | Running Ollama warmup request against model qwen3:4b
2026-04-14 21:49:27 | INFO | runner | Warmup completed in 2187.72 ms
2026-04-14 21:49:27 | INFO | runner | Running condition=none trial=1 requested=0.00 B planned=0.00 B
2026-04-14 21:49:47 | INFO | runner | Completed run_id=pilot=0|mode=none|requested=0.0000|actual_bytes=0|trial=1 status=completed successes=20 errors=0 actual=0.00 B
2026-04-14 21:49:47 | INFO | runner | Running condition=none trial=2 requested=0.00 B planned=0.00 B
2026-04-14 21:50:05 | INFO | runner | Completed run_id=pilot=0|mode=none|requested=0.0000|actual_bytes=0|trial=2 status=completed successes=20 errors=0 actual=0.00 B
2026-04-14 21:50:05 | INFO | runner | Running condition=none trial=3 requested=0.00 B planned=0.00 B
2026-04-14 21:50:25 | INFO | runner | Completed run_id=pilot=0|mode=none|requested=0.0000|actual_bytes=0|trial=3 status=completed successes=20 errors=0 actual=0.00 B
2026-04-14 21:50:25 | INFO | runner | Running condition=file_seq trial=1 requested=23.92 GiB planned=23.92 GiB
2026-04-14 21:50:27 | INFO | pressure_manager | Started pressure worker mode=file_seq pid=55060 requested=25686052864 actual=25686052864
2026-04-14 21:50:50 | INFO | runner | Completed run_id=pilot=0|mode=file_seq|requested=0.2500|actual_bytes=25686052864|trial=1 status=completed successes=20 errors=0 actual=23.92 GiB
2026-04-14 21:50:50 | INFO | runner | Running condition=file_seq trial=2 requested=23.92 GiB planned=23.92 GiB
2026-04-14 21:50:52 | INFO | pressure_manager | Started pressure worker mode=file_seq pid=74772 requested=25686052864 actual=25686052864
2026-04-14 21:51:16 | INFO | runner | Completed run_id=pilot=0|mode=file_seq|requested=0.2500|actual_bytes=25686052864|trial=2 status=completed successes=20 errors=0 actual=23.92 GiB
2026-04-14 21:51:16 | INFO | runner | Running condition=file_seq trial=3 requested=23.92 GiB planned=23.92 GiB
2026-04-14 21:51:18 | INFO | pressure_manager | Started pressure worker mode=file_seq pid=24720 requested=25686052864 actual=25686052864
2026-04-14 21:51:41 | INFO | runner | Completed run_id=pilot=0|mode=file_seq|requested=0.2500|actual_bytes=25686052864|trial=3 status=completed successes=20 errors=0 actual=23.92 GiB
2026-04-14 21:51:41 | INFO | runner | Running condition=file_seq trial=1 requested=47.84 GiB planned=47.84 GiB
2026-04-14 21:51:44 | INFO | pressure_manager | Started pressure worker mode=file_seq pid=76468 requested=51372109824 actual=51372109824
2026-04-14 21:52:07 | INFO | runner | Completed run_id=pilot=0|mode=file_seq|requested=0.5000|actual_bytes=51372109824|trial=1 status=completed successes=20 errors=0 actual=47.84 GiB
2026-04-14 21:52:07 | INFO | runner | Running condition=file_seq trial=2 requested=47.84 GiB planned=47.84 GiB
2026-04-14 21:52:09 | INFO | pressure_manager | Started pressure worker mode=file_seq pid=28804 requested=51372109824 actual=51372109824
2026-04-14 21:52:33 | INFO | runner | Completed run_id=pilot=0|mode=file_seq|requested=0.5000|actual_bytes=51372109824|trial=2 status=completed successes=20 errors=0 actual=47.84 GiB
2026-04-14 21:52:33 | INFO | runner | Running condition=file_seq trial=3 requested=47.84 GiB planned=47.84 GiB
2026-04-14 21:52:35 | INFO | pressure_manager | Started pressure worker mode=file_seq pid=37040 requested=51372109824 actual=51372109824
2026-04-14 21:52:59 | INFO | runner | Completed run_id=pilot=0|mode=file_seq|requested=0.5000|actual_bytes=51372109824|trial=3 status=completed successes=20 errors=0 actual=47.84 GiB
2026-04-14 21:52:59 | INFO | runner | Running condition=file_seq trial=1 requested=86.12 GiB planned=86.12 GiB
2026-04-14 21:53:01 | INFO | pressure_manager | Started pressure worker mode=file_seq pid=77136 requested=92469800960 actual=92469800960
2026-04-14 21:53:25 | INFO | runner | Completed run_id=pilot=0|mode=file_seq|requested=0.9000|actual_bytes=92469800960|trial=1 status=completed successes=20 errors=0 actual=86.12 GiB
2026-04-14 21:53:25 | INFO | runner | Running condition=file_seq trial=2 requested=86.12 GiB planned=86.12 GiB
2026-04-14 21:53:28 | INFO | pressure_manager | Started pressure worker mode=file_seq pid=58544 requested=92469800960 actual=92469800960
2026-04-14 21:53:51 | INFO | runner | Completed run_id=pilot=0|mode=file_seq|requested=0.9000|actual_bytes=92469800960|trial=2 status=completed successes=20 errors=0 actual=86.12 GiB
2026-04-14 21:53:51 | INFO | runner | Running condition=file_seq trial=3 requested=86.12 GiB planned=86.12 GiB
2026-04-14 21:53:54 | INFO | pressure_manager | Started pressure worker mode=file_seq pid=52252 requested=92469800960 actual=92469800960
2026-04-14 21:54:18 | INFO | runner | Completed run_id=pilot=0|mode=file_seq|requested=0.9000|actual_bytes=92469800960|trial=3 status=completed successes=20 errors=0 actual=86.12 GiB
2026-04-14 21:54:18 | INFO | runner | Running condition=file_seq trial=1 requested=105.26 GiB planned=105.26 GiB
2026-04-14 21:54:21 | INFO | pressure_manager | Started pressure worker mode=file_seq pid=67412 requested=113018642432 actual=113018642432
2026-04-14 21:54:46 | INFO | runner | Completed run_id=pilot=0|mode=file_seq|requested=1.1000|actual_bytes=113018642432|trial=1 status=completed successes=20 errors=0 actual=105.26 GiB
2026-04-14 21:54:46 | INFO | runner | Running condition=file_seq trial=2 requested=105.26 GiB planned=105.26 GiB
2026-04-14 21:54:48 | INFO | pressure_manager | Started pressure worker mode=file_seq pid=73360 requested=113018642432 actual=113018642432
2026-04-14 21:55:13 | INFO | runner | Completed run_id=pilot=0|mode=file_seq|requested=1.1000|actual_bytes=113018642432|trial=2 status=completed successes=20 errors=0 actual=105.26 GiB
2026-04-14 21:55:13 | INFO | runner | Running condition=file_seq trial=3 requested=105.26 GiB planned=105.26 GiB
