2026-04-14 20:38:23 | INFO | __main__ | Logging to D:\Develop\Transfer\UW-Madison\Courses\CS537\papers\measurement\results\logs\run_20260414_203823.log
2026-04-14 20:38:23 | INFO | runner | Detected total RAM: 95.69 GiB
2026-04-14 20:38:23 | INFO | runner | Using config file: D:\Develop\Transfer\UW-Madison\Courses\CS537\papers\measurement\config\default.yaml
2026-04-14 20:38:23 | INFO | runner | File-backed pressure cap is 346.69 GiB based on existing file=143.53 GiB and allowed disk growth=203.16 GiB
2026-04-14 20:38:23 | INFO | runner | Planned 48 conditions
2026-04-14 20:38:23 | INFO | runner | Reusing pressure data file D:\Develop\Transfer\UW-Madison\Courses\CS537\papers\measurement\data\pressure_data.bin (143.53 GiB)
2026-04-14 20:38:23 | INFO | inference_client | Running Ollama warmup request against model qwen3:4b
2026-04-14 20:38:23 | INFO | runner | Warmup completed in 527.47 ms
2026-04-14 20:38:23 | INFO | runner | Running condition=none trial=1 requested=0.00 B planned=0.00 B
2026-04-14 20:38:42 | INFO | runner | Completed run_id=pilot=0|mode=none|requested=0.0000|actual_bytes=0|trial=1 status=completed successes=20 errors=0 actual=0.00 B
2026-04-14 20:38:42 | INFO | runner | Running condition=none trial=2 requested=0.00 B planned=0.00 B
2026-04-14 20:39:01 | INFO | runner | Completed run_id=pilot=0|mode=none|requested=0.0000|actual_bytes=0|trial=2 status=completed successes=20 errors=0 actual=0.00 B
2026-04-14 20:39:01 | INFO | runner | Running condition=none trial=3 requested=0.00 B planned=0.00 B
2026-04-14 20:39:21 | INFO | runner | Completed run_id=pilot=0|mode=none|requested=0.0000|actual_bytes=0|trial=3 status=completed successes=20 errors=0 actual=0.00 B
2026-04-14 20:39:21 | INFO | runner | Running condition=file_seq trial=1 requested=23.92 GiB planned=23.92 GiB
2026-04-14 20:39:23 | INFO | pressure_manager | Started pressure worker mode=file_seq pid=14904 requested=25686052864 actual=25686052864
2026-04-14 20:39:47 | INFO | runner | Completed run_id=pilot=0|mode=file_seq|requested=0.2500|actual_bytes=25686052864|trial=1 status=completed successes=20 errors=0 actual=23.92 GiB
2026-04-14 20:39:47 | INFO | runner | Running condition=file_seq trial=2 requested=23.92 GiB planned=23.92 GiB
2026-04-14 20:39:49 | INFO | pressure_manager | Started pressure worker mode=file_seq pid=12692 requested=25686052864 actual=25686052864
2026-04-14 20:40:12 | INFO | runner | Completed run_id=pilot=0|mode=file_seq|requested=0.2500|actual_bytes=25686052864|trial=2 status=completed successes=20 errors=0 actual=23.92 GiB
2026-04-14 20:40:12 | INFO | runner | Running condition=file_seq trial=3 requested=23.92 GiB planned=23.92 GiB
2026-04-14 20:40:14 | INFO | pressure_manager | Started pressure worker mode=file_seq pid=66496 requested=25686052864 actual=25686052864
2026-04-14 20:40:37 | INFO | runner | Completed run_id=pilot=0|mode=file_seq|requested=0.2500|actual_bytes=25686052864|trial=3 status=completed successes=20 errors=0 actual=23.92 GiB
2026-04-14 20:40:37 | INFO | runner | Running condition=file_seq trial=1 requested=47.84 GiB planned=47.84 GiB
2026-04-14 20:40:40 | INFO | pressure_manager | Started pressure worker mode=file_seq pid=49184 requested=51372109824 actual=51372109824
2026-04-14 20:41:03 | INFO | runner | Completed run_id=pilot=0|mode=file_seq|requested=0.5000|actual_bytes=51372109824|trial=1 status=completed successes=20 errors=0 actual=47.84 GiB
2026-04-14 20:41:03 | INFO | runner | Running condition=file_seq trial=2 requested=47.84 GiB planned=47.84 GiB
2026-04-14 20:41:06 | INFO | pressure_manager | Started pressure worker mode=file_seq pid=47356 requested=51372109824 actual=51372109824
2026-04-14 20:41:30 | INFO | runner | Completed run_id=pilot=0|mode=file_seq|requested=0.5000|actual_bytes=51372109824|trial=2 status=completed successes=20 errors=0 actual=47.84 GiB
2026-04-14 20:41:30 | INFO | runner | Running condition=file_seq trial=3 requested=47.84 GiB planned=47.84 GiB
2026-04-14 20:41:32 | INFO | pressure_manager | Started pressure worker mode=file_seq pid=72860 requested=51372109824 actual=51372109824
2026-04-14 20:41:56 | INFO | runner | Completed run_id=pilot=0|mode=file_seq|requested=0.5000|actual_bytes=51372109824|trial=3 status=completed successes=20 errors=0 actual=47.84 GiB
2026-04-14 20:41:56 | INFO | runner | Running condition=file_seq trial=1 requested=86.12 GiB planned=86.12 GiB
2026-04-14 20:41:59 | INFO | pressure_manager | Started pressure worker mode=file_seq pid=19260 requested=92469800960 actual=92469800960
2026-04-14 20:42:24 | INFO | runner | Completed run_id=pilot=0|mode=file_seq|requested=0.9000|actual_bytes=92469800960|trial=1 status=completed successes=20 errors=0 actual=86.12 GiB
2026-04-14 20:42:24 | INFO | runner | Running condition=file_seq trial=2 requested=86.12 GiB planned=86.12 GiB
2026-04-14 20:42:26 | INFO | pressure_manager | Started pressure worker mode=file_seq pid=41092 requested=92469800960 actual=92469800960
2026-04-14 20:42:52 | INFO | runner | Completed run_id=pilot=0|mode=file_seq|requested=0.9000|actual_bytes=92469800960|trial=2 status=completed successes=20 errors=0 actual=86.12 GiB
2026-04-14 20:42:52 | INFO | runner | Running condition=file_seq trial=3 requested=86.12 GiB planned=86.12 GiB
2026-04-14 20:42:55 | INFO | pressure_manager | Started pressure worker mode=file_seq pid=77584 requested=92469800960 actual=92469800960
2026-04-14 20:43:19 | INFO | runner | Completed run_id=pilot=0|mode=file_seq|requested=0.9000|actual_bytes=92469800960|trial=3 status=completed successes=20 errors=0 actual=86.12 GiB
2026-04-14 20:43:19 | INFO | runner | Running condition=file_seq trial=1 requested=105.26 GiB planned=105.26 GiB
2026-04-14 20:43:22 | INFO | pressure_manager | Started pressure worker mode=file_seq pid=48584 requested=113018642432 actual=113018642432
2026-04-14 20:43:47 | INFO | runner | Completed run_id=pilot=0|mode=file_seq|requested=1.1000|actual_bytes=113018642432|trial=1 status=completed successes=20 errors=0 actual=105.26 GiB
2026-04-14 20:43:47 | INFO | runner | Running condition=file_seq trial=2 requested=105.26 GiB planned=105.26 GiB
2026-04-14 20:43:50 | INFO | pressure_manager | Started pressure worker mode=file_seq pid=32196 requested=113018642432 actual=113018642432
2026-04-14 20:44:14 | INFO | runner | Completed run_id=pilot=0|mode=file_seq|requested=1.1000|actual_bytes=113018642432|trial=2 status=completed successes=20 errors=0 actual=105.26 GiB
2026-04-14 20:44:14 | INFO | runner | Running condition=file_seq trial=3 requested=105.26 GiB planned=105.26 GiB
2026-04-14 20:44:17 | INFO | pressure_manager | Started pressure worker mode=file_seq pid=41324 requested=113018642432 actual=113018642432
