model,rep,condition,mode,step,elapsed_s,prompt_sha256,input_tokens,cached_input_tokens,cache_write_input_tokens,output_tokens,reasoning_output_tokens,campaign,prompt_tokens,generation_tokens,generation_tps,ttft_s
cloud,2,quiet,one_shot,0,16.482594917004462,6954c8e9c92218be294851241d271521942bb36658fa12349269bc07b0457782,11943,7424,0,429,66,rerun_20260911,,,,
cloud,2,quiet,agentic,0,4.101378542021848,01c45072cc068aa796de17b6ff4ee9614813bce296f2463ccc6e29662fe94cde,11123,7424,0,14,0,rerun_20260911,,,,
cloud,2,quiet,agentic,1,5.242223625013139,59886c622511e433aaee52ba621842fe6e6966ca76c79d02660fdcc7ff996aee,12206,7424,0,14,0,rerun_20260911,,,,
cloud,2,quiet,agentic,2,4.2874957919702865,dab9addb7e4becfb2e88312063ad3f737e0944a501d05e5c99c5bf4bb7a2638b,12345,7424,0,14,0,rerun_20260911,,,,
cloud,2,quiet,agentic,3,5.403532667027321,932052f82a6e7bea86f8f056d2f34a5d59cddfb0276b9271fdef62d4b7324b0e,12522,7424,0,40,24,rerun_20260911,,,,
cloud,2,quiet,agentic,4,18.190385208989028,765550c25f3e873012b86eb40fd458aa14da15c3ac1c41e317013f22516312df,12714,7424,0,429,72,rerun_20260911,,,,
cloud,3,combined,one_shot,0,17.560677833971567,6954c8e9c92218be294851241d271521942bb36658fa12349269bc07b0457782,11943,7424,0,459,103,rerun_20260911,,,,
cloud,3,combined,agentic,0,4.223653374996502,01c45072cc068aa796de17b6ff4ee9614813bce296f2463ccc6e29662fe94cde,11123,7424,0,14,0,rerun_20260911,,,,
cloud,3,combined,agentic,1,4.676742790965363,59886c622511e433aaee52ba621842fe6e6966ca76c79d02660fdcc7ff996aee,12206,7424,0,14,0,rerun_20260911,,,,
cloud,3,combined,agentic,2,8.223691791994497,dab9addb7e4becfb2e88312063ad3f737e0944a501d05e5c99c5bf4bb7a2638b,12345,7424,0,14,0,rerun_20260911,,,,
cloud,3,combined,agentic,3,6.598919583018869,932052f82a6e7bea86f8f056d2f34a5d59cddfb0276b9271fdef62d4b7324b0e,12522,7424,0,30,14,rerun_20260911,,,,
cloud,3,combined,agentic,4,18.105203332961537,765550c25f3e873012b86eb40fd458aa14da15c3ac1c41e317013f22516312df,12714,7424,0,470,118,rerun_20260911,,,,
cloud,3,quiet,one_shot,0,18.05158404202666,6954c8e9c92218be294851241d271521942bb36658fa12349269bc07b0457782,11943,7424,0,465,111,rerun_20260911,,,,
cloud,3,quiet,agentic,0,6.294375417055562,01c45072cc068aa796de17b6ff4ee9614813bce296f2463ccc6e29662fe94cde,11123,7424,0,14,0,rerun_20260911,,,,
cloud,3,quiet,agentic,1,5.669490708038211,59886c622511e433aaee52ba621842fe6e6966ca76c79d02660fdcc7ff996aee,12206,7424,0,14,0,rerun_20260911,,,,
cloud,3,quiet,agentic,2,6.099987541034352,dab9addb7e4becfb2e88312063ad3f737e0944a501d05e5c99c5bf4bb7a2638b,12345,7424,0,42,26,rerun_20260911,,,,
cloud,3,quiet,agentic,3,5.465154584031552,932052f82a6e7bea86f8f056d2f34a5d59cddfb0276b9271fdef62d4b7324b0e,12522,7424,0,29,13,rerun_20260911,,,,
cloud,3,quiet,agentic,4,19.887528875027783,765550c25f3e873012b86eb40fd458aa14da15c3ac1c41e317013f22516312df,12714,7424,0,477,112,rerun_20260911,,,,
cloud,4,combined,one_shot,0,19.959961666958407,6954c8e9c92218be294851241d271521942bb36658fa12349269bc07b0457782,11943,7424,0,533,168,rerun_20260911,,,,
