prompt_tokens,backend,old_runtime,new_runtime,old_compile_prompt_limit,new_compile_prompt_limit,old_reconstructed_request_s,new_measured_request_s,old_prefill_s,new_prefill_s,old_net_energy_stage_sum_j,new_net_energy_request_j,old_first_decode_ms,old_median_decode_ms
128,GPU,2026.0.0,2026.3.0-22451-8a17657b995-releases/2026/3,dynamic,dynamic,0.48914788849651814,0.48323968797922134,0.030185865238308907,0.028938617557287216,14.016685561889188,13.61371665173678,31.573,14.343
128,NPU,2026.0.0,2026.3.0-22451-8a17657b995-releases/2026/3,256,128,0.567334184423089,0.5433242134749889,0.048361608758568764,0.025157611817121506,9.55316482965146,9.13325846807174,69.878,16.218
512,GPU,2026.0.0,2026.3.0-22451-8a17657b995-releases/2026/3,dynamic,dynamic,0.566204022616148,0.5765131078660488,0.09770817682147026,0.10650640167295933,15.377738235548675,16.180757903001684,32.754,14.64
512,NPU,2026.0.0,2026.3.0-22451-8a17657b995-releases/2026/3,1024,512,0.6682603638619184,0.5898269899189472,0.13508871011435986,0.07465548254549503,11.864846686752069,10.246507678246726,70.003,16.662
1024,GPU,2026.0.0,2026.3.0-22451-8a17657b995-releases/2026/3,dynamic,dynamic,0.6751051265746355,0.6845937166363001,0.19095719046890736,0.1950866635888815,18.253286392038024,19.891807329609644,33.41,15.13
1024,NPU,2026.0.0,2026.3.0-22451-8a17657b995-releases/2026/3,2048,1024,0.7107934895902872,0.6667081955820322,0.1796173993498087,0.13380852155387402,13.76433439991504,12.246035940587658,66.902,16.599
2048,GPU,2026.0.0,2026.3.0-22451-8a17657b995-releases/2026/3,dynamic,dynamic,0.9328480809926987,0.9464181941002607,0.4148567169904709,0.41780562698841095,24.872452587543137,27.713513875514373,33.808,16.187
2048,NPU,2026.0.0,2026.3.0-22451-8a17657b995-releases/2026/3,4096,2048,1.181546151638031,0.840327262878418,0.6282749176025391,0.3018220569938421,21.92568577748324,16.27920216629202,69.536,17.29
