stage,window,precision,operator,operator_label,device,path,median_us,p10_us,p90_us
prefill,128,int8,final_rmsnorm,Final RMSNorm,NPU,npuw,134.7453687050111,126.51428263238135,136.850892605798
prefill,128,int8,lm_head,LM head,GPU,plain,1717.3032440813292,1661.0980778932571,1744.879370040082
prefill,128,int8,lm_head,LM head,NPU,plain,1487.7194343468868,1484.480157897279,1490.1698757581019
prefill,512,fp16,token_embedding,Token embedding,GPU,plain,52.31622452946736,49.93670511465131,54.76000051496122
prefill,512,fp16,token_embedding,Token embedding,NPU,npuw,80.96641870561865,74.75132420630064,81.79408462645299
prefill,512,fp16,pre_attention_rmsnorm,Pre-attention RMSNorm,GPU,plain,67.65925718538884,65.34523830015155,71.27492130518762
prefill,512,fp16,pre_attention_rmsnorm,Pre-attention RMSNorm,NPU,plain,100.92968494677581,100.20484227164302,101.0899522009759
prefill,512,fp16,qkv_projection,QKV projection,GPU,plain,199.34285553469462,188.5676876661516,212.08635120080217
prefill,512,fp16,qkv_projection,QKV projection,NPU,plain,253.50210019642245,252.448421627526,254.04344509636553
prefill,512,fp16,rotary_embedding,Rotary embedding (RoPE),GPU,plain,90.20038711977132,84.94880979019702,95.61269931183705
prefill,512,fp16,rotary_embedding,Rotary embedding (RoPE),NPU,plain,714.6620099077688,711.6850286229907,714.8934659518488
prefill,512,fp16,kv_cache_and_gqa_layout,KV cache + GQA layout,GPU,plain,62.23826711264221,57.87721106584852,66.05968316090559
prefill,512,fp16,kv_cache_and_gqa_layout,KV cache + GQA layout,NPU,plain,56.63935251565773,56.169563796466534,56.94137424520045
prefill,512,fp16,scaled_dot_product_attention,Scaled dot-product attention,GPU,plain,179.49877036834494,178.29915021898495,182.53333504987071
prefill,512,fp16,scaled_dot_product_attention,Scaled dot-product attention,NPU,plain,358.519793919634,357.8377697694655,358.7624878212346
prefill,512,fp16,attention_output_and_residual,Attention output + residual,GPU,plain,248.95306845056885,245.9845103795787,249.46222456815664
prefill,512,fp16,attention_output_and_residual,Attention output + residual,NPU,npuw,909.711545019296,888.7101877860187,917.9473040668557
prefill,512,fp16,ffn_rmsnorm,FFN RMSNorm,GPU,plain,74.8663213094102,71.87976213016671,77.35936580684998
prefill,512,fp16,ffn_rmsnorm,FFN RMSNorm,NPU,npuw,573.5138001208604,560.6349315472547,576.0273250487971
prefill,512,fp16,ffn_gate_projection,FFN gate projection,GPU,plain,473.5520323787994,452.74915107962147,494.5784173494116
prefill,512,fp16,ffn_gate_projection,FFN gate projection,NPU,plain,344.7143194690212,343.41201462594944,345.3550524048372
prefill,512,fp16,ffn_up_projection,FFN up projection,GPU,plain,375.2336104182487,353.79779022510627,396.35809896543356
prefill,512,fp16,ffn_up_projection,FFN up projection,NPU,plain,324.5528618431706,324.12782262652564,325.68545469966585
prefill,512,fp16,swiglu_activation,SwiGLU activation,GPU,plain,0.0,0.0,0.0
prefill,512,fp16,swiglu_activation,SwiGLU activation,NPU,plain,145.61020288099007,144.7893756171758,145.76949639688655
prefill,512,fp16,ffn_down_and_residual,FFN down projection + residual,GPU,plain,414.01977687975034,394.8719400137729,438.9492104770701
prefill,512,fp16,ffn_down_and_residual,FFN down projection + residual,NPU,plain,387.69417264593625,385.88731315401225,388.53703367679435
prefill,512,fp16,final_rmsnorm,Final RMSNorm,GPU,plain,75.7683251806079,71.87976213016671,77.35936580684998
prefill,512,fp16,final_rmsnorm,Final RMSNorm,NPU,plain,28.962431332553056,28.470687122600225,29.008421066367
prefill,512,fp16,lm_head,LM head,GPU,plain,3112.815359503308,2937.0382517627336,3183.0025741598115
prefill,512,fp16,lm_head,LM head,NPU,plain,2405.6357552968116,2389.907559729847,2410.462876608197
prefill,512,int8,token_embedding,Token embedding,GPU,plain,49.17299831717476,47.5546396396119,51.53195426157377
prefill,512,int8,token_embedding,Token embedding,NPU,plain,786.5646125002213,782.1926630845209,787.0964438849571
prefill,512,int8,pre_attention_rmsnorm,Pre-attention RMSNorm,GPU,plain,6.558612360563934,5.851492463693632,6.749235063141633
prefill,512,int8,pre_attention_rmsnorm,Pre-attention RMSNorm,NPU,plain,124.77048535736317,123.37399161743728,125.21265950562486
prefill,512,int8,qkv_projection,QKV projection,GPU,plain,161.01746507780754,154.55257882873866,164.90225363703607
prefill,512,int8,qkv_projection,QKV projection,NPU,plain,82.70218868581395,82.36827405133224,83.0886475114486
prefill,512,int8,rotary_embedding,Rotary embedding (RoPE),GPU,plain,93.5251144463912,90.15567098343088,101.19001927727214
prefill,512,int8,rotary_embedding,Rotary embedding (RoPE),NPU,npuw,315.55156739034203,303.6282913351436,330.37395665011354
prefill,512,int8,kv_cache_and_gqa_layout,KV cache + GQA layout,GPU,plain,91.59676157120788,87.18350600595514,96.5052961625836
prefill,512,int8,kv_cache_and_gqa_layout,KV cache + GQA layout,NPU,npuw,94.85145345917944,89.48394764958502,102.09472965923648
prefill,512,int8,scaled_dot_product_attention,Scaled dot-product attention,GPU,plain,724.6098167540614,718.2545827162088,726.5492498315741
prefill,512,int8,scaled_dot_product_attention,Scaled dot-product attention,NPU,npuw,545.8671784334742,519.6240270410385,589.0521761799768
prefill,512,int8,attention_output_and_residual,Attention output + residual,GPU,plain,90.63258513361622,89.1649493242723,92.7575176708328
prefill,512,int8,attention_output_and_residual,Attention output + residual,NPU,npuw,132.69699365233626,125.27752670941902,148.5535673131587
prefill,512,int8,ffn_rmsnorm,FFN RMSNorm,GPU,plain,77.13411500733295,75.29484609605217,79.64029294970493
prefill,512,int8,ffn_rmsnorm,FFN RMSNorm,NPU,npuw,197.2359860196089,187.60772472740584,213.366513669865
prefill,512,int8,ffn_gate_projection,FFN gate projection,GPU,plain,525.4761584874557,517.1567060807794,534.0584350744919
prefill,512,int8,ffn_gate_projection,FFN gate projection,NPU,npuw,174.31559620693264,161.07110576925302,189.2767459974609
prefill,512,int8,ffn_up_projection,FFN up projection,GPU,plain,259.36346171215706,252.63402308543826,266.0922729143082
prefill,512,int8,ffn_up_projection,FFN up projection,NPU,plain,118.6428594698359,118.57757977390271,118.7413308465267
prefill,512,int8,swiglu_activation,SwiGLU activation,GPU,plain,225.6172863964489,222.91237331068075,228.61448799680002
prefill,512,int8,swiglu_activation,SwiGLU activation,NPU,plain,461.66204391972786,458.7205810553116,461.9984535213819
