window,precision,decode_tokens,gpu_prefill_s,gpu_decode_s,gpu_total_s,npu_prefill_s,npu_decode_s,npu_total_s,oracle_prefill_s,oracle_decode_s,oracle_total_s
128,fp16,32,0.030185865238308907,0.014342563226819038,0.48914788849651814,0.048361608758568764,0.016217892989516258,0.567334184423089,0.024872055496163278,0.011421002355575579,0.3903441308745818
128,int8,32,0.026029517874121666,0.008180768229067326,0.2878141012042761,0.146802281960845,0.12248476967215538,4.066314911469817,0.026029517874121666,0.008180768229067326,0.2878141012042761
512,fp16,32,0.09770817682147026,0.01464049518108368,0.566204022616148,0.13508871011435986,0.016661614179611206,0.6682603638619184,0.0743374803725726,0.011861606243657286,0.45390888016960573
512,int8,32,0.0942193903028965,0.00859830342233181,0.3693650998175144,0.23907417058944702,0.12279807310551405,4.168612509965897,0.09133876795030473,0.00859830342233181,0.36648447746492263
1024,fp16,32,0.19095719046890736,0.015129623003304005,0.6751051265746355,0.1796173993498087,0.016599252820014954,0.7107934895902872,0.11472406132869716,0.012294349945125682,0.508143259572719
1024,int8,32,0.18225654773414135,0.009100053459405899,0.4734582584351301,0.26153781823813915,0.12244554422795773,4.179795233532786,0.16415658958548643,0.009100053459405896,0.45535830028647506
2048,fp16,32,0.4148567169904709,0.016187230125069618,0.9328480809926987,0.6282749176025391,0.017289726063609123,1.181546151638031,0.2549367423414138,0.011842571509001873,0.6338990306294737
2048,int8,32,0.39956988021731377,0.010342356748878956,0.7305252961814404,0.8355788551270962,0.12291148491203785,4.768746372312307,0.39244606396871734,0.010342356748878954,0.7234014799328439
