window,system,rep,cosine,relative_l2,top1_match,top5_overlap,inferred_idle_psys_w,status
128,direct_gpu,1,1.0,0.0,1,5,8.61708458406676,pass
128,direct_gpu,2,1.0,0.0,1,5,8.61708458406676,pass
128,direct_gpu,3,1.0,0.0,1,5,8.61708458406676,pass
128,direct_npu,1,0.9999788559243773,0.006542033695732549,1,5,8.617084584066761,pass
128,direct_npu,2,0.9999788559243773,0.006542033695732549,1,5,8.61708458406676,pass
128,direct_npu,3,0.9999788559243773,0.006542033695732549,1,5,8.617084584066761,pass
128,npuw_gpu_correct,1,0.9999952136151755,0.0031162951808022255,1,5,8.61708458406676,pass
128,npuw_gpu_correct,2,0.9999952136151755,0.0031162951808022255,1,5,8.61708458406676,pass
128,npuw_gpu_correct,3,0.9999952136151755,0.0031162951808022255,1,5,8.61708458406676,pass
128,npuw_hybrid_correct,1,0.9999929210185139,0.0038374059944658173,1,5,8.617084584066761,pass
128,npuw_hybrid_correct,2,0.9999929210185139,0.0038374059944658173,1,5,8.617084584066761,pass
128,npuw_hybrid_correct,3,0.9999929210185139,0.0038374059944658173,1,5,8.617084584066761,pass
512,direct_gpu,1,1.0,0.0,1,5,8.617084584066763,pass
512,direct_gpu,2,1.0,0.0,1,5,8.617084584066763,pass
512,direct_gpu,3,1.0,0.0,1,5,8.61708458406676,pass
512,direct_npu,1,0.9999870758525601,0.005092855099796092,1,5,8.617084584066761,pass
512,direct_npu,2,0.9999870758525601,0.005092855099796092,1,5,8.617084584066761,pass
512,direct_npu,3,0.9999870758525601,0.005092855099796092,1,5,8.617084584066761,pass
512,npuw_gpu_correct,1,0.9999861848678999,0.005406136330904523,1,5,8.617084584066763,pass
512,npuw_gpu_correct,2,0.9999861848678999,0.005406136330904523,1,5,8.617084584066763,pass
512,npuw_gpu_correct,3,0.9999861848678999,0.005406136330904523,1,5,8.61708458406676,pass
512,npuw_hybrid_correct,1,0.9999837883741519,0.005787291386168784,1,5,8.617084584066763,pass
512,npuw_hybrid_correct,2,0.9999837883741519,0.005787291386168784,1,5,8.61708458406676,pass
512,npuw_hybrid_correct,3,0.9999837883741519,0.005787291386168784,1,5,8.61708458406676,pass
1024,direct_gpu,1,0.9999999999999999,0.0,1,5,8.617084584066763,pass
1024,direct_gpu,2,0.9999999999999999,0.0,1,5,8.617084584066763,pass
1024,direct_gpu,3,0.9999999999999999,0.0,1,5,8.61708458406676,pass
1024,direct_npu,1,0.9999567908869111,0.009793473778156337,1,5,8.617084584066761,pass
1024,direct_npu,2,0.9999567908869111,0.009793473778156337,1,5,8.617084584066761,pass
1024,direct_npu,3,0.9999567908869111,0.009793473778156337,1,5,8.617084584066761,pass
1024,npuw_gpu_correct,1,0.9999932181067824,0.00369100667883932,1,5,8.617084584066761,pass
1024,npuw_gpu_correct,2,0.9999932181067824,0.00369100667883932,1,5,8.617084584066758,pass
1024,npuw_gpu_correct,3,0.9999932181067824,0.00369100667883932,1,5,8.617084584066763,pass
1024,npuw_hybrid_correct,1,0.9999929278377302,0.003781316072995096,1,5,8.61708458406676,pass
1024,npuw_hybrid_correct,2,0.9999929278377302,0.003781316072995096,1,5,8.617084584066763,pass
1024,npuw_hybrid_correct,3,0.9999929278377302,0.003781316072995096,1,5,8.617084584066763,pass
2048,direct_gpu,1,1.0000000000000002,0.0,1,5,8.617084584066761,pass
2048,direct_gpu,2,1.0000000000000002,0.0,1,5,8.61708458406676,pass
2048,direct_gpu,3,1.0000000000000002,0.0,1,5,8.61708458406676,pass
2048,direct_npu,1,0.9998460908008534,0.019140544122052183,1,5,8.61708458406676,pass
2048,direct_npu,2,0.9998460908008534,0.019140544122052183,1,5,8.617084584066761,pass
2048,direct_npu,3,0.9998460908008534,0.019140544122052183,1,5,8.617084584066761,pass
2048,npuw_gpu_correct,1,0.9999972677501323,0.0023601992734694228,1,5,8.617084584066761,pass
2048,npuw_gpu_correct,2,0.9999972677501323,0.0023601992734694228,1,5,8.61708458406676,pass
2048,npuw_gpu_correct,3,0.9999972677501323,0.0023601992734694228,1,5,8.617084584066761,pass
2048,npuw_hybrid_correct,1,0.9997430410614053,0.02283414291372768,1,5,8.617084584066761,pass
2048,npuw_hybrid_correct,2,0.9997430410614053,0.02283414291372768,1,5,8.617084584066763,pass
2048,npuw_hybrid_correct,3,0.9997430410614053,0.02283414291372768,1,5,8.617084584066761,pass
