stage,window,precision,operator,device,path,count,profile_unit_us,calibrated_weighted_s
prefill,1024,fp16,kv_cache_and_gqa_layout,GPU,plain,24,114.37475998914051,0.004543188186614604
prefill,1024,fp16,scaled_dot_product_attention,NPU,plain,24,850.747283874451,0.020914907160099205
prefill,1024,fp16,attention_output_and_residual,GPU,plain,24,778.1393927466312,0.030909211936283973
prefill,1024,fp16,ffn_rmsnorm,GPU,plain,24,132.2302825707954,0.005252444313285443
prefill,1024,fp16,ffn_gate_projection,NPU,plain,24,362.97647858360557,0.008923471746277337
prefill,1024,fp16,ffn_up_projection,NPU,plain,24,370.75454598182563,0.009114688997983277
prefill,1024,fp16,swiglu_activation,GPU,plain,24,0.0,0.0
prefill,1024,fp16,ffn_down_and_residual,NPU,plain,24,674.8399428360503,0.016590372981344192
prefill,1024,fp16,final_rmsnorm,NPU,plain,1,20.74151306192032,2.1246361300660325e-05
prefill,1024,fp16,lm_head,NPU,plain,1,1955.7706398314326,0.002003374079365988
prefill,1024,int8,token_embedding,GPU,plain,1,82.38783122651012,0.00010445213896444391
prefill,1024,int8,pre_attention_rmsnorm,GPU,plain,24,7.869939993364174,0.00023946217889445856
prefill,1024,int8,qkv_projection,NPU,plain,24,75.68353015125551,0.004027943907059312
prefill,1024,int8,rotary_embedding,GPU,plain,24,156.77975664965237,0.004770407673441517
prefill,1024,int8,kv_cache_and_gqa_layout,GPU,plain,24,178.3454228903278,0.005426595831376287
prefill,1024,int8,scaled_dot_product_attention,GPU,plain,24,2747.876488554779,0.08361086511930312
prefill,1024,int8,attention_output_and_residual,GPU,plain,24,162.8371252476906,0.00495471793299574
prefill,1024,int8,ffn_rmsnorm,GPU,plain,24,170.5912740690092,0.005190656882186013
prefill,1024,int8,ffn_gate_projection,NPU,plain,24,314.28705822935694,0.01672663310937714
prefill,1024,int8,ffn_up_projection,GPU,plain,24,436.17087119917124,0.013271565891952875
prefill,1024,int8,swiglu_activation,GPU,plain,24,434.23233399384156,0.013212581154655303
prefill,1024,int8,ffn_down_and_residual,GPU,plain,24,358.6293829859852,0.010912176400050141
prefill,1024,int8,final_rmsnorm,GPU,plain,1,175.43761708233333,0.00022242161355958057
prefill,1024,int8,lm_head,NPU,plain,1,670.1624538604315,0.0014861097516704687
prefill,2048,fp16,token_embedding,NPU,npuw,1,59.17723892585232,9.4001359015062e-05
prefill,2048,fp16,pre_attention_rmsnorm,NPU,npuw,24,93.43774567239839,0.0035621567626760342
prefill,2048,fp16,qkv_projection,NPU,plain,24,224.93879035855784,0.008575412725315767
prefill,2048,fp16,rotary_embedding,GPU,plain,24,588.9416306371934,0.018683430227346413
prefill,2048,fp16,kv_cache_and_gqa_layout,GPU,plain,24,232.47695946205002,0.007375038247636743
prefill,2048,fp16,scaled_dot_product_attention,NPU,plain,24,2094.9203684010827,0.07986531250156323
prefill,2048,fp16,attention_output_and_residual,NPU,plain,24,181.75459388110227,0.006929087929956968
prefill,2048,fp16,ffn_rmsnorm,GPU,plain,24,285.81936412361483,0.00906725873912238
prefill,2048,fp16,ffn_gate_projection,GPU,plain,24,1512.2784155477732,0.04797512485344155
prefill,2048,fp16,ffn_up_projection,GPU,plain,24,1195.5957915191145,0.03792876813070325
prefill,2048,fp16,swiglu_activation,GPU,plain,24,0.0,0.0
prefill,2048,fp16,ffn_down_and_residual,NPU,plain,24,857.758633464271,0.032700603968457
prefill,2048,fp16,final_rmsnorm,NPU,plain,1,14.369513233243511,2.282556261204194e-05
prefill,2048,fp16,lm_head,NPU,plain,1,1358.363243146999,0.0021577213335673712
prefill,2048,int8,token_embedding,GPU,plain,1,171.63444596837118,0.00016349006329645753
prefill,2048,int8,pre_attention_rmsnorm,GPU,plain,24,16.585729391364364,0.00037916891557002776
prefill,2048,int8,qkv_projection,NPU,plain,24,233.17179900562016,0.009145508398592524
prefill,2048,int8,rotary_embedding,GPU,plain,24,444.5952516048169,0.010163960561562902
prefill,2048,int8,kv_cache_and_gqa_layout,GPU,plain,24,445.6291940504095,0.010187597679147932
prefill,2048,int8,scaled_dot_product_attention,GPU,plain,24,11037.335606700977,0.25232623022019535
prefill,2048,int8,attention_output_and_residual,GPU,plain,24,314.9887747934119,0.007201006922091406
prefill,2048,int8,ffn_rmsnorm,GPU,plain,24,374.2871653045203,0.00855663656578086
prefill,2048,int8,ffn_gate_projection,NPU,plain,24,1042.6213280003358,0.040893890909804796
prefill,2048,int8,ffn_up_projection,GPU,plain,24,797.4013498876102,0.018229515143806996
prefill,2048,int8,swiglu_activation,GPU,plain,24,825.0860715828928,0.018862419832853944
prefill,2048,int8,ffn_down_and_residual,GPU,plain,24,641.0443162674104,0.014655012902718602
prefill,2048,int8,final_rmsnorm,GPU,plain,1,370.40039330000525,0.00035282418633384376
prefill,2048,int8,lm_head,NPU,plain,1,813.091791169908,0.0013288016669616989
decode,128,fp16,token_embedding,GPU,plain,1,1.9823181095631661,1.920503080801561e-06
decode,128,fp16,pre_attention_rmsnorm,GPU,plain,24,4.032572440783996,9.376377394186568e-05
decode,128,fp16,qkv_projection,GPU,plain,24,36.00766916802558,0.0008372360327364254
decode,128,fp16,rotary_embedding,GPU,plain,24,6.00127819467093,0.00013953933878940424
decode,128,fp16,kv_cache_and_gqa_layout,GPU,plain,24,28.00596490846434,0.0006511835810172199
decode,128,fp16,scaled_dot_product_attention,GPU,plain,24,18.045043767953818,0.00041957619595806885
decode,128,fp16,attention_output_and_residual,GPU,plain,24,25.005325811128877,0.0005814139116225178
decode,128,fp16,ffn_rmsnorm,GPU,plain,24,5.012512157764949,0.00011654894332168578
decode,128,fp16,ffn_gate_projection,NPU,plain,24,113.56651152350085,0.0018998970466092761
decode,128,fp16,ffn_up_projection,NPU,plain,24,126.78202903342346,0.0021209844283531397
decode,128,fp16,swiglu_activation,GPU,plain,24,0.0,0.0
decode,128,fp16,ffn_down_and_residual,NPU,plain,24,114.25933511222739,0.0019114875539902338
decode,128,fp16,final_rmsnorm,NPU,plain,1,6.244672717548496,4.352895311431951e-06
decode,128,fp16,lm_head,NPU,plain,1,3791.794135050235,0.0026430981508435087
decode,128,int8,token_embedding,GPU,plain,1,1.9808786044664242,1.4145310869952392e-06
decode,128,int8,pre_attention_rmsnorm,GPU,plain,24,3.0657125485909953,5.254087587997112e-05
decode,128,int8,qkv_projection,GPU,plain,24,22.05316757046899,0.000377952179702155
decode,128,int8,rotary_embedding,GPU,plain,24,5.044934273547447,8.646122599161913e-05
decode,128,int8,kv_cache_and_gqa_layout,GPU,plain,24,38.341500478960604,0.0006571053175363055
decode,128,int8,scaled_dot_product_attention,GPU,plain,24,119.06044885571977,0.002040484933402212
decode,128,int8,attention_output_and_residual,GPU,plain,24,15.372296160195932,0.0002634538926078438
decode,128,int8,ffn_rmsnorm,GPU,plain,24,4.08761673145466,7.005450117329482e-05
decode,128,int8,ffn_gate_projection,GPU,plain,24,66.59313241082631,0.0011412881830893725
decode,128,int8,ffn_up_projection,GPU,plain,24,68.61110612024528,0.00117587267348602
decode,128,int8,swiglu_activation,GPU,plain,24,1.021904182863665,1.7513625293323704e-05
decode,128,int8,ffn_down_and_residual,GPU,plain,24,61.14741917266402,0.0010479583164468844
decode,128,int8,final_rmsnorm,GPU,plain,1,5.078218477048703,3.626319092014186e-06
decode,128,int8,lm_head,GPU,plain,1,1743.5292849379978,0.0012450416542793153
decode,512,fp16,token_embedding,GPU,plain,1,1.9720279427559024,1.6451508115619694e-06
decode,512,fp16,pre_attention_rmsnorm,GPU,plain,24,4.9626873247005925,9.936211027537228e-05
decode,512,fp16,qkv_projection,NPU,npuw,24,48.383666219584406,0.0006844988359806048
decode,512,fp16,rotary_embedding,GPU,plain,24,5.955224789640711,0.00011923453233044675
decode,512,fp16,kv_cache_and_gqa_layout,NPU,npuw,24,138.73924522772148,0.0019627874297951198
decode,512,fp16,scaled_dot_product_attention,GPU,plain,24,56.86726292659496,0.0011385869953658262
decode,512,fp16,attention_output_and_residual,GPU,plain,24,25.805974088443083,0.0005166829734319358
decode,512,fp16,ffn_rmsnorm,GPU,plain,24,5.986027676483681,0.00011985126267008699
decode,512,fp16,ffn_gate_projection,NPU,plain,24,112.3089643657905,0.0015888699923994956
decode,512,fp16,ffn_up_projection,NPU,plain,24,122.40310891313509,0.001731675007660629
decode,512,fp16,swiglu_activation,GPU,plain,24,0.0,0.0
decode,512,fp16,ffn_down_and_residual,NPU,plain,24,119.79622865684321,0.0016947946585594625
