stage,window,precision,device,concurrency,ok,tokens_per_s_median,tokens_per_s_p10,tokens_per_s_p90,requests_per_s_median,measurement_wall_s,error,performance_hint,optimal_number_of_infer_requests,compile_s_excluded
decode,512,int8,GPU,2,False,,,,,0.1396786980330944,"RuntimeError: Exception from src/inference/src/cpp/infer_request.cpp:224:
Check '!dim::is_empty(minus_one_dim)' failed at src/core/shape_inference/include/reshape_shape_inference.hpp:355:
While validating node 'opset1::Reshape reshape:__module.model/aten::index/Reshape () -> ()' with friendly_name 'reshape:__module.model/aten::index/Reshape':
Non-'-1' output dimensions do not evenly divide the input dimensions

",THROUGHPUT,4,1.1996818464249372
decode,512,int8,GPU,4,True,129.13581888002747,128.72942514079378,129.13581888002747,4.0354943400008585,4.183245463296771,,THROUGHPUT,4,1.1996818464249372
decode,512,int8,NPU,1,True,5.250297747171947,5.245718186796081,5.250297747171947,0.16407180459912335,20.43046229146421,,THROUGHPUT,1,16.329617485404015
decode,512,int8,NPU,2,False,,,,,1.790096078068018,"RuntimeError: Exception from src/inference/src/cpp/infer_request.cpp:224:
Exception from src/plugins/intel_npu/src/utils/src/zero/zero_wrappers.cpp:226:
L0 zeCommandQueueExecuteCommandLists result: ZE_RESULT_ERROR_UNKNOWN, code 0x7ffffffe - an action is required to complete the desired operation

",THROUGHPUT,1,16.329617485404015
decode,512,int8,NPU,4,False,,,,,5.447142947465181,"RuntimeError: Exception from src/inference/src/cpp/infer_request.cpp:224:
Exception from src/plugins/intel_npu/src/utils/src/zero/zero_wrappers.cpp:258:
L0 zeFenceHostSynchronize result: ZE_RESULT_ERROR_DEVICE_LOST, code 0x70000001 - device hung, reset, was removed, or driver update occurred

",THROUGHPUT,1,16.329617485404015
decode,1024,fp16,GPU,1,True,62.47536557758535,62.305566063705825,62.47536557758535,1.9523551742995422,2.4145369194447994,,THROUGHPUT,4,1.2609429452568293
decode,1024,fp16,GPU,2,True,68.2437937447588,67.50766739102527,68.2437937447588,2.1326185545237126,4.830940553918481,,THROUGHPUT,4,1.2609429452568293
decode,1024,fp16,GPU,4,True,67.62409015987099,65.64408578033628,67.62409015987099,2.1132528174959684,8.420909596607089,,THROUGHPUT,4,1.2609429452568293
decode,1024,fp16,NPU,1,True,47.9994465772541,47.88593414506723,47.9994465772541,1.4999827055391906,3.6070379316806793,,THROUGHPUT,1,14.611263424158096
decode,1024,fp16,NPU,2,False,,,,,5.214711956679821,"RuntimeError: Exception from src/inference/src/cpp/infer_request.cpp:224:
Exception from src/plugins/intel_npu/src/utils/src/zero/zero_wrappers.cpp:258:
L0 zeFenceHostSynchronize result: ZE_RESULT_ERROR_DEVICE_LOST, code 0x70000001 - device hung, reset, was removed, or driver update occurred

",THROUGHPUT,1,14.611263424158096
decode,1024,fp16,NPU,4,True,50.132125701341614,49.987133987700936,50.132125701341614,1.5666289281669254,11.509068839251995,,THROUGHPUT,1,14.611263424158096
decode,1024,int8,GPU,1,True,99.67474735841778,98.23050398967546,99.67474735841778,3.1148358549505555,1.840557212010026,,THROUGHPUT,4,1.1653722934424877
decode,1024,int8,GPU,2,True,118.65522440807383,118.27389707950852,118.65522440807383,3.7079757627523073,2.9702727515250444,,THROUGHPUT,4,1.1653722934424877
decode,1024,int8,GPU,4,True,119.2716225382081,118.69600449832265,119.2716225382081,3.7272382043190033,5.688773907721043,,THROUGHPUT,4,1.1653722934424877
decode,1024,int8,NPU,1,True,5.241617648015409,5.241540224056512,5.241617648015409,0.16380055150048153,20.778038818389177,,THROUGHPUT,1,18.0291460826993
decode,1024,int8,NPU,2,False,,,,,1.9881639741361141,"RuntimeError: Exception from src/inference/src/cpp/infer_request.cpp:224:
Exception from src/plugins/intel_npu/src/utils/src/zero/zero_wrappers.cpp:226:
L0 zeCommandQueueExecuteCommandLists result: ZE_RESULT_ERROR_UNKNOWN, code 0x7ffffffe - an action is required to complete the desired operation

",THROUGHPUT,1,18.0291460826993
decode,1024,int8,NPU,4,False,,,,,5.817884987220168,"RuntimeError: Exception from src/inference/src/cpp/infer_request.cpp:224:
Exception from src/plugins/intel_npu/src/utils/src/zero/zero_wrappers.cpp:258:
L0 zeFenceHostSynchronize result: ZE_RESULT_ERROR_DEVICE_LOST, code 0x70000001 - device hung, reset, was removed, or driver update occurred

",THROUGHPUT,1,18.0291460826993
decode,2048,fp16,GPU,1,False,,,,,0.9933054130524397,"RuntimeError: Exception from src/inference/src/cpp/infer_request.cpp:224:
Check 'args[i].index < data.outputs.size() && data.outputs[args[i].index]' failed at src/plugins/intel_gpu/src/runtime/ocl/ocl_stream.cpp:106:
The allocated output memory is necessary to set kernel arguments.

",THROUGHPUT,4,1.2350503653287888
decode,2048,fp16,GPU,2,False,,,,,0.5612010061740875,"RuntimeError: Exception from src/inference/src/cpp/infer_request.cpp:224:
Check '!dim::is_empty(minus_one_dim)' failed at src/core/shape_inference/include/reshape_shape_inference.hpp:355:
While validating node 'opset1::Reshape reshape:__module.model/aten::index/Reshape () -> ()' with friendly_name 'reshape:__module.model/aten::index/Reshape':
Non-'-1' output dimensions do not evenly divide the input dimensions

",THROUGHPUT,4,1.2350503653287888
decode,2048,fp16,GPU,4,True,58.47299357471612,58.21185887906035,58.47299357471612,1.8272810492098788,13.678660921752453,,THROUGHPUT,4,1.2350503653287888
decode,2048,fp16,NPU,1,True,45.00368667350218,44.949084541475855,45.00368667350218,1.4063652085469431,7.835439687594771,,THROUGHPUT,1,21.408836459740996
decode,2048,fp16,NPU,2,False,,,,,1.8009289726614952,"RuntimeError: Exception from src/inference/src/cpp/infer_request.cpp:224:
Check '*roi_end <= *max_dim' failed at src/inference/src/dev/make_tensor.cpp:35

",THROUGHPUT,1,21.408836459740996
decode,2048,fp16,NPU,4,False,,,,,3.0052311159670353,"RuntimeError: Exception from src/inference/src/cpp/infer_request.cpp:224:
Check '*roi_end <= *max_dim' failed at src/inference/src/dev/make_tensor.cpp:35

",THROUGHPUT,1,21.408836459740996
decode,2048,int8,GPU,1,False,,,,,1.0532619822770357,"RuntimeError: Exception from src/inference/src/cpp/infer_request.cpp:224:
Check 'args[i].index < data.outputs.size() && data.outputs[args[i].index]' failed at src/plugins/intel_gpu/src/runtime/ocl/ocl_stream.cpp:106:
The allocated output memory is necessary to set kernel arguments.

",THROUGHPUT,4,1.207862477749586
decode,2048,int8,GPU,2,False,,,,,0.582371985539794,"RuntimeError: Exception from src/inference/src/cpp/infer_request.cpp:224:
Check '!dim::is_empty(minus_one_dim)' failed at src/core/shape_inference/include/reshape_shape_inference.hpp:355:
While validating node 'opset1::Reshape reshape:__module.model/aten::index/Reshape () -> ()' with friendly_name 'reshape:__module.model/aten::index/Reshape':
Non-'-1' output dimensions do not evenly divide the input dimensions

",THROUGHPUT,4,1.207862477749586
decode,2048,int8,GPU,4,True,92.99876567287436,92.74411227901503,92.99876567287436,2.9062114272773236,10.260084345936775,,THROUGHPUT,4,1.207862477749586
decode,2048,int8,NPU,1,True,5.181422899165058,5.181392142100999,5.181422899165058,0.16191946559890807,25.797522904351354,,THROUGHPUT,1,25.285416753962636
decode,2048,int8,NPU,2,False,,,,,2.1987622175365686,"RuntimeError: Exception from src/inference/src/cpp/infer_request.cpp:224:
Check '*roi_end <= *max_dim' failed at src/inference/src/dev/make_tensor.cpp:35

",THROUGHPUT,1,25.285416753962636
decode,2048,int8,NPU,4,False,,,,,3.102430844679475,"RuntimeError: Exception from src/inference/src/cpp/infer_request.cpp:224:
Check '*roi_begin <= *max_dim' failed at src/inference/src/dev/make_tensor.cpp:34

",THROUGHPUT,1,25.285416753962636
