stage,window,precision,device,latency_ms,latency_s,tokens_per_s,net_system_j,net_system_w,effective_tflops,effective_gbps,performance_hint,compile_s_excluded
prefill,128,fp16,GPU,30.185865238308907,0.030185865238308907,4240.3952641236565,0.8619020694813173,28.55316760599185,4.212525079672812,32.80003634759048,LATENCY,2.096837991848588
prefill,128,fp16,NPU,48.361608758568764,0.048361608758568764,2646.727503193756,0.7512037508835241,15.533059593482298,2.6293317702230055,20.472798618895684,LATENCY,4.586924837902188
prefill,128,int8,GPU,26.029517874121666,0.026029517874121666,4917.494078031178,0.7235642473484797,27.797835167275277,4.885173631833579,19.11646367813452,LATENCY,1.5174988880753517
prefill,128,int8,NPU,146.802281960845,0.146802281960845,871.9210511600908,2.443866179798364,16.647331003003007,0.8661903116868148,3.389540859676265,LATENCY,8.501373138278723
prefill,512,fp16,GPU,97.70817682147026,0.09770817682147026,5240.093681570915,2.414974944223753,24.716201067146404,5.292193459722557,10.19558810129285,LATENCY,1.254463216289878
prefill,512,fp16,NPU,135.08871011435986,0.13508871011435986,3790.102071198729,3.117737241502654,23.079184329048086,3.8277852671644803,7.374356629481987,LATENCY,6.557970670983195
prefill,512,int8,GPU,94.2193903028965,0.0942193903028965,5434.125590857916,2.32088379551856,24.632761770771207,5.488154536700537,5.345897265740591,LATENCY,1.1362473722547293
prefill,512,int8,NPU,239.07417058944702,0.23907417058944702,2141.5947977050105,4.8734318409930735,20.38460210476703,2.162887663945847,2.1068239189459024,LATENCY,9.185254568234086
prefill,1024,fp16,GPU,190.95719046890736,0.19095719046890736,5362.45845199913,4.987712584884076,26.11953272163481,5.533856695216,5.2593923618892395,LATENCY,4.067336348816752
prefill,1024,fp16,NPU,179.6173993498087,0.1796173993498087,5701.006715979326,4.005721903595554,22.30141354955444,5.883225850063648,5.59143375104807,LATENCY,13.046901246532798
prefill,1024,int8,GPU,182.25654773414135,0.18225654773414135,5618.453837355213,4.429229887233572,24.302171539507675,5.798034364819955,2.808204431407235,LATENCY,1.150844018906355
prefill,1024,int8,NPU,261.53781823813915,0.26153781823813915,3915.303748032389,5.333134048757646,20.39144504869137,4.040447129576539,1.9569393384400573,LATENCY,11.00256779231131
prefill,2048,fp16,GPU,414.8567169904709,0.4148567169904709,4936.644186110748,11.109239309338692,26.778496898710856,5.311843045845192,2.460058317010309,LATENCY,1.2264033798128366
prefill,2048,fp16,NPU,628.2749176025391,0.6282749176025391,3259.719499570427,12.324275949762242,19.616055972425208,3.507467360907891,1.6244030891674666,LATENCY,24.13666590489447
prefill,2048,int8,GPU,399.56988021731377,0.39956988021731377,5125.511459687992,9.73276161091872,24.358096274987922,5.51506476406455,1.321587534858235,LATENCY,1.1032049246132374
prefill,2048,int8,NPU,835.5788551270962,0.8355788551270962,2450.995483470543,14.8887691179754,17.818508721969437,2.637278042217586,0.6319769459935389,LATENCY,14.21703303605318
decode,128,fp16,GPU,14.342563226819038,0.014342563226819038,69.7225443029673,0.41108698413774597,28.66203046391721,0.0697440701624052,69.01408774333366,LATENCY,2.096837991848588
decode,128,fp16,NPU,16.21789298951626,0.016217892989516258,61.660290929680606,0.27506128371149796,16.960358777142382,0.06167932768126107,61.033755595739976,LATENCY,4.586924837902188
decode,128,int8,GPU,8.180768229067326,0.008180768229067326,122.23790871459613,0.25596778732821873,31.288967021303957,0.12227564795758104,60.79304034465967,LATENCY,1.5174988880753517
decode,128,int8,NPU,122.48476967215538,0.12248476967215538,8.16428036462505,1.8461240052042358,15.072273966351895,0.008166800971887702,4.060372357568792,LATENCY,8.501373138278723
decode,512,fp16,GPU,14.64049518108368,0.01464049518108368,68.30370063521175,0.4050863528539038,27.668896976742804,0.07058086951424501,67.93195835923792,LATENCY,1.254463216289878
decode,512,fp16,NPU,16.661614179611206,0.016661614179611206,60.01819446903882,0.2733471701640442,16.40580361646705,0.06201913385225877,59.69154598580482,LATENCY,6.557970670983195
decode,512,int8,GPU,8.59830342233181,0.00859830342233181,116.30201341845712,0.26642467204349823,30.98572578301097,0.12017939228757346,58.389700890998135,LATENCY,1.1362473722547293
decode,512,int8,NPU,122.79807310551405,0.12279807310551405,8.14345025707978,2.1955042003640757,17.878979244874568,0.008414943767986531,4.088438460826762,LATENCY,9.185254568234086
decode,1024,fp16,GPU,15.129623003304005,0.015129623003304005,66.0955001840839,0.4145491814735609,27.39983550039758,0.07120990865170415,66.15161295039769,LATENCY,4.067336348816752
decode,1024,fp16,NPU,16.599252820014954,0.016599252820014954,60.24367547400842,0.30495664050998395,18.371708884527322,0.06490527517605635,60.29482024595721,LATENCY,13.046901246532798
decode,1024,int8,GPU,9.100053459405899,0.009100053459405899,109.88946432687061,0.27507124289637047,30.227431533608662,0.11839260909906096,55.8616301835646,LATENCY,1.150844018906355
decode,1024,int8,NPU,122.44554422795773,0.12244554422795773,8.166895792780283,1.8336516588335838,14.975242017952583,0.008798842610346325,4.151591013010753,LATENCY,11.00256779231131
decode,2048,fp16,GPU,16.18723012506962,0.016187230125069618,61.77709171202007,0.4301004149438889,26.570352779366516,0.07199869569995301,62.60687400931365,LATENCY,1.2264033798128366
decode,2048,fp16,NPU,17.289726063609123,0.017289726063609123,57.83781630321887,0.3000440571162811,17.35389305836398,0.0674076299249774,58.6146867377523,LATENCY,24.13666590489447
