stage,window,precision,device,status,successful_processes,failed_processes,median_ms,process_min_ms,process_max_ms,sample_p10_ms,sample_p90_ms,gpu_npu_output_match,sampled_cpu_reference_pass
prefill,2048,FP16,GPU,measured_valid,3,0,9.36221145093441,9.356267750263214,9.382693096995354,9.308978915214539,9.834451600909233,True,True
prefill,2048,FP16,NPU,measured_valid,3,0,7.042393088340759,6.799209862947464,7.049871608614922,5.986122414469719,8.721372112631798,True,True
prefill,4096,FP16,GPU,measured_valid,3,0,32.79246762394905,32.780932262539864,32.8901968896389,32.68682025372982,33.022576943039894,False,True
prefill,4096,FP16,NPU,measured_rejected,3,0,27.517450973391533,27.406977489590645,27.653200551867485,27.38415263593197,27.873504906892776,False,False
prefill,8192,FP16,GPU,measured_valid,3,0,128.62368114292622,128.29921953380108,128.6631654947996,128.27765569090843,128.9244294166565,False,True
prefill,8192,FP16,NPU,measured_rejected,3,0,215.65506421029568,215.0327693670988,216.51674807071686,214.94910307228565,216.6318390518427,False,False
prefill,16384,FP16,GPU,measured_valid,3,0,519.7894237935543,516.0106848925352,519.8960434645414,515.4660921543837,521.1361367255449,False,True
prefill,16384,FP16,NPU,measured_rejected,3,0,844.2997206002474,831.4127139747143,855.4693292826414,831.3308358192444,855.5626682937145,False,False
prefill,32736,FP16,GPU,measured_rejected,3,0,1972.7572407573462,1897.1104305237532,2004.4993087649345,1894.9885964393616,2004.4993087649345,,False
prefill,32736,FP16,NPU,failed_or_unsupported,0,3,,,,,,,
decode,2048,FP16,GPU,measured_valid,3,0,0.6451960653066635,0.6010457873344421,0.682411715388298,0.5795136094093323,1.0311845690011978,True,True
decode,2048,FP16,NPU,measured_valid,3,0,1.124560832977295,1.1224336922168732,1.1528246104717255,1.1009983718395233,1.2830402702093124,True,True
decode,4096,FP16,GPU,measured_valid,3,0,1.1182595044374466,1.1081453412771225,1.231130212545395,1.100439578294754,2.3904219269752502,False,True
decode,4096,FP16,NPU,measured_rejected,3,0,1.532791182398796,1.5317779034376144,1.5385877341032028,1.510515809059143,1.5662815421819687,False,False
decode,8192,FP16,GPU,measured_valid,3,0,2.1081045269966125,2.096528187394142,2.116359770298004,2.087252214550972,2.149231731891632,False,True
decode,8192,FP16,NPU,measured_rejected,3,0,2.918832004070282,2.867782488465309,3.0148252844810486,2.6330482214689255,3.036610782146454,False,False
decode,16384,FP16,GPU,measured_valid,3,0,4.220630973577499,4.212282598018646,4.250161349773407,4.189549013972282,4.2764563113451,False,True
decode,16384,FP16,NPU,measured_rejected,3,0,1.308400183916092,1.3078097254037857,1.308988779783249,1.2149568647146225,1.3420246541500092,False,False
decode,32736,FP16,GPU,measured_valid,3,0,10.172219946980476,10.15532948076725,10.180352255702019,10.138465091586113,10.213924571871758,False,True
decode,32736,FP16,NPU,measured_rejected,3,0,2.3939907550811768,2.38596647977829,2.437228336930275,2.3311972618103027,2.450777217745781,False,False
