stage,window,precision,operator,winner,npu_path,gpu_us,npu_us,speedup
prefill,128,fp16,token_embedding,GPU,npuw,18.338783024710064,45.88816436347211,2.5022469758021253
prefill,128,fp16,pre_attention_rmsnorm,GPU,npuw,27.990774090346942,73.29004431569253,2.618364325299876
prefill,128,fp16,qkv_projection,GPU,npuw,76.25072941853132,132.49138636248452,1.737575330397888
prefill,128,fp16,rotary_embedding,GPU,plain,31.851570516601694,524.0253608899419,16.452104319842224
prefill,128,fp16,kv_cache_and_gqa_layout,GPU,npuw,20.26918123783744,40.76658041922601,2.0112593567975554
prefill,128,fp16,scaled_dot_product_attention,GPU,plain,19.303982131273752,151.3664722442627,7.8412045356713636
prefill,128,fp16,attention_output_and_residual,GPU,plain,46.32955711505701,190.7574485130989,4.117402807010714
prefill,128,fp16,ffn_rmsnorm,GPU,plain,28.95597319691063,125.16842897121722,4.322715320947033
prefill,128,fp16,ffn_gate_projection,NPU,plain,179.5270338208459,148.38252868698098,1.2098933439769417
prefill,128,fp16,ffn_up_projection,NPU,plain,157.32745436988108,147.70859025979914,1.0651205464297213
prefill,128,fp16,swiglu_activation,GPU,plain,0.0,48.75746942483462,
prefill,128,fp16,ffn_down_and_residual,GPU,plain,156.3622552633174,195.63720899497744,1.2511792482496507
prefill,128,fp16,final_rmsnorm,GPU,plain,28.155386970200784,36.39065006180152,1.292493337076731
prefill,128,fp16,lm_head,GPU,plain,3336.6933113906684,3866.39455304696,1.1587503531858978
prefill,128,int8,token_embedding,GPU,plain,16.031000187252367,25.901621361180023,1.6157208570040837
prefill,128,int8,pre_attention_rmsnorm,GPU,plain,3.8876402229010556,88.51545784547257,22.768428344796806
prefill,128,int8,qkv_projection,NPU,plain,51.4048642906828,44.501440706765216,1.1551280919062046
prefill,128,int8,rotary_embedding,GPU,plain,31.414083733195046,173.34354032972783,5.518019936597956
prefill,128,int8,kv_cache_and_gqa_layout,GPU,npuw,33.317967595812924,35.94373018026914,1.07880920638107
prefill,128,int8,scaled_dot_product_attention,GPU,npuw,68.53981905424374,158.9885369979124,2.3196521261908467
prefill,128,int8,attention_output_and_residual,GPU,npuw,35.221851458430805,103.5274194405011,2.939295214582494
prefill,128,int8,ffn_rmsnorm,GPU,npuw,26.654374076650342,146.26964366004495,5.487641286920314
prefill,128,int8,ffn_gate_projection,NPU,plain,145.64711549026794,81.4577035795329,1.7880091027616851
prefill,128,int8,ffn_up_projection,GPU,plain,104.6730012226478,203.36719192985424,1.942881063448979
prefill,128,int8,swiglu_activation,GPU,plain,65.68399326031691,296.7362254941194,4.517633760756643
prefill,128,int8,ffn_down_and_residual,NPU,plain,81.78755087545885,74.39827412253837,1.0993205398924968
prefill,128,int8,final_rmsnorm,GPU,npuw,27.606316007959283,134.7453687050111,4.880961612775937
prefill,128,int8,lm_head,NPU,plain,1717.3032440813292,1487.7194343468868,1.1543192919538827
prefill,512,fp16,token_embedding,GPU,npuw,52.31622452946736,80.96641870561865,1.5476349723977871
prefill,512,fp16,pre_attention_rmsnorm,GPU,plain,67.65925718538884,100.92968494677581,1.491735043295329
prefill,512,fp16,qkv_projection,GPU,plain,199.34285553469462,253.50210019642245,1.2716889176512358
prefill,512,fp16,rotary_embedding,GPU,plain,90.20038711977132,714.6620099077688,7.923048145667212
prefill,512,fp16,kv_cache_and_gqa_layout,NPU,plain,62.23826711264221,56.63935251565773,1.0988520233425458
prefill,512,fp16,scaled_dot_product_attention,GPU,plain,179.49877036834494,358.519793919634,1.9973384396111713
prefill,512,fp16,attention_output_and_residual,GPU,npuw,248.95306845056885,909.711545019296,3.654148754546983
prefill,512,fp16,ffn_rmsnorm,GPU,npuw,74.8663213094102,573.5138001208604,7.660504617965963
prefill,512,fp16,ffn_gate_projection,NPU,plain,473.5520323787994,344.7143194690212,1.3737521351252038
prefill,512,fp16,ffn_up_projection,NPU,plain,375.2336104182487,324.5528618431706,1.1561556052448796
prefill,512,fp16,swiglu_activation,GPU,plain,0.0,145.61020288099007,
prefill,512,fp16,ffn_down_and_residual,NPU,plain,414.01977687975034,387.69417264593625,1.0679030176134634
prefill,512,fp16,final_rmsnorm,NPU,plain,75.7683251806079,28.962431332553056,2.6160899377065134
prefill,512,fp16,lm_head,NPU,plain,3112.815359503308,2405.6357552968116,1.2939678638586096
prefill,512,int8,token_embedding,GPU,plain,49.17299831717476,786.5646125002213,15.99586438530221
prefill,512,int8,pre_attention_rmsnorm,GPU,plain,6.558612360563934,124.77048535736317,19.02391519699983
prefill,512,int8,qkv_projection,NPU,plain,161.01746507780754,82.70218868581395,1.9469553059776172
prefill,512,int8,rotary_embedding,GPU,npuw,93.5251144463912,315.55156739034203,3.373976811022422
prefill,512,int8,kv_cache_and_gqa_layout,GPU,npuw,91.59676157120788,94.85145345917944,1.0355328270578796
prefill,512,int8,scaled_dot_product_attention,NPU,npuw,724.6098167540614,545.8671784334742,1.3274471252027673
prefill,512,int8,attention_output_and_residual,GPU,npuw,90.63258513361622,132.69699365233626,1.4641201446114118
prefill,512,int8,ffn_rmsnorm,GPU,npuw,77.13411500733295,197.2359860196089,2.5570525571059983
prefill,512,int8,ffn_gate_projection,NPU,npuw,525.4761584874557,174.31559620693264,3.0145102900813026
prefill,512,int8,ffn_up_projection,NPU,plain,259.36346171215706,118.6428594698359,2.1860857271237495
prefill,512,int8,swiglu_activation,GPU,plain,225.6172863964489,461.66204391972786,2.0462175185836924
prefill,512,int8,ffn_down_and_residual,NPU,plain,202.477051894249,168.49604797670506,1.2016724090896298
prefill,512,int8,final_rmsnorm,GPU,plain,77.13411500733295,203.68347672690118,2.640640612879755
prefill,512,int8,lm_head,NPU,plain,1661.2760019704333,1008.2710760807878,1.6476481785314285
prefill,1024,fp16,token_embedding,NPU,npuw,99.71132922130198,88.10478911554097,1.1317356323336765
prefill,1024,fp16,pre_attention_rmsnorm,GPU,npuw,127.08306665460057,144.7219944701854,1.138798411778382
prefill,1024,fp16,qkv_projection,NPU,plain,351.92233842812465,132.22714576974204,2.661498411536129
prefill,1024,fp16,rotary_embedding,GPU,plain,240.48026459255183,1402.6448208123616,5.832681626448129
