runtime,prompt_tokens,decode_calls,compile_prompt_limit,processes,timed_requests_per_process,request_median_s,request_min_s,request_max_s,prefill_median_s,first_decode_median_ms,energy
2026.0.0-20965-c6d6a13a886-releases/2026/0,2048,32,2048,3,5,0.8813196904957294,0.8781043458729982,0.8845085371285677,0.3416097369045019,18.53598840534687,not measured in this control
2026.0.0-20965-c6d6a13a886-releases/2026/0,2048,32,4096,3,5,1.1811497826129198,1.1772718112915754,1.1840506829321384,0.6229282077401876,19.939346238970757,not measured in this control
2026.3.0-22451-8a17657b995-releases/2026/3,2048,32,2048,3,5,0.8352370467036963,0.8344707451760769,0.8365272898226976,0.2957337088882923,22.966595366597176,not measured in this control
2026.3.0-22451-8a17657b995-releases/2026/3,2048,32,4096,3,5,0.8423118647187948,0.8412208706140518,0.8479647673666477,0.29942401871085167,30.026875436306,not measured in this control
