rep,condition,mode,status,wall_s,tokens,effective_tps,decode_tps,ttft_s,peak_mlx_gb,answer_sha256,time_start,time_end,telemetry_window_s,telemetry_start_error_s,telemetry_end_error_s,disk_read_bytes,disk_write_bytes,pagein_bytes,swapin_bytes,swapout_bytes,compression_bytes,decompression_bytes,min_available_gib,max_thermal_state,disk_read_mib_s,stress_pages,stress_full_passes,stress_peak_rss_gib,stress_majflt,stress_minflt
0,quiet,one_shot,completed,4.226950541022234,261,61.7466415722197,76.45358010560402,0.7982532909372821,4.873351152,e845fb3f20e6acaec1d3db9831f6b2df52f3d4157747a52c95e1470c5c80d150,1789267965.2345479,1789267969.46148,4.203070878982544,-0.013270854949951172,-0.03713202476501465,59895808,2424832,151437312,0,0,0,41910272,3.984527587890625,0,13.590323693001237,,,,,
0,quiet,agentic,completed,12.281723667052574,471,38.34966595637734,77.56608812633065,0.22408220800571144,5.532877313,af10205197cefd07b3f116784e21b9dedb0eabfae9e4d28798ef8a581322072f,1789267969.461919,1789267981.7435882,12.405112028121948,-0.03757119178771973,0.08587169647216797,482447360,6639616,1336197120,65536,0,0,356777984,3.7286224365234375,0,37.08935922601706,,,,,
0,resident,one_shot,completed,4.840395458042622,261,53.92121413681853,72.59069719686777,1.228183916886337,4.873351152,e845fb3f20e6acaec1d3db9831f6b2df52f3d4157747a52c95e1470c5c80d150,1789268007.791073,1789268012.6314461,4.770837068557739,0.06878781318664551,-0.0007481575012207031,196726784,2928640,243679232,0,0,0,3415359488,3.8304443359375,0,39.32502379644605,675467264,5154,2.0226287841796875,0,0
0,resident,agentic,completed,13.086394291021861,471,35.991579462276896,70.14489319196589,0.22518879105336964,5.532877305,af10205197cefd07b3f116784e21b9dedb0eabfae9e4d28798ef8a581322072f,1789268012.631831,1789268025.718168,12.987482070922852,-0.001132965087890625,-0.09998798370361328,1655504896,22462464,1809612800,0,0,3663314944,2407858176,3.1154327392578125,0,121.56417166763521,1618100224,12345,2.0226287841796875,1035,207
0,thrash,one_shot,completed,4.943867999943905,261,52.79267164959935,73.0453758911044,1.3495021669659764,4.873351152,e845fb3f20e6acaec1d3db9831f6b2df52f3d4157747a52c95e1470c5c80d150,1789268080.637342,1789268085.5811882,4.947149753570557,0.013647079467773438,0.016950607299804688,6221361152,2912256,6040862720,655360,0,1157332992,5003689984,3.2743682861328125,0,1199.3072050159399,323584,0,3.8427734375,323442,4
0,thrash,agentic,completed,12.605209375033155,471,37.36550389499271,75.8092786446091,0.2269799580099061,5.532877233,af10205197cefd07b3f116784e21b9dedb0eabfae9e4d28798ef8a581322072f,1789268085.581701,1789268098.186854,12.679386138916016,0.016437768936157227,0.09067106246948242,21291798528,23781376,21259599872,2080768,0,1984118784,2578857984,2.971771240234375,0,1601.4530343805707,1282048,1,4.5148468017578125,1259284,61
1,quiet,one_shot,completed,3.8292567499447614,261,68.15944112490368,83.00988542073142,0.6748006669804454,4.873351152,e845fb3f20e6acaec1d3db9831f6b2df52f3d4157747a52c95e1470c5c80d150,1789268251.175124,1789268255.004363,3.8379108905792236,-0.017119884490966797,-0.008448123931884766,69419008,3391488,49446912,196608,0,0,75907072,5.1970367431640625,0,17.249781687872517,,,,,
1,quiet,agentic,completed,12.0638429580722,471,39.042285417421056,78.82659501835913,0.3102137920213863,5.532877313,af10205197cefd07b3f116784e21b9dedb0eabfae9e4d28798ef8a581322072f,1789268239.110952,1789268251.174741,12.04423999786377,0.0028121471405029297,-0.016736984252929688,253145088,13492224,362151936,507904,0,0,1580040192,4.02215576171875,0,20.04426753309625,,,,,
1,resident,one_shot,completed,4.820665832958184,261,54.14189845219748,64.74330740003037,0.7790604999754578,4.873351152,e845fb3f20e6acaec1d3db9831f6b2df52f3d4157747a52c95e1470c5c80d150,1789268138.9063349,1789268143.7269802,4.926033973693848,0.00044918060302734375,0.10583782196044922,14012416,4571136,14106624,262144,0,0,80248832,4.466461181640625,0,2.712787065895808,604561408,4612,2.022674560546875,0,0
1,resident,agentic,completed,14.262863959069364,471,33.022820756872186,64.46313930881134,0.34706237504724413,5.532877297,af10205197cefd07b3f116784e21b9dedb0eabfae9e4d28798ef8a581322072f,1789268124.6413481,1789268138.904149,14.324753046035767,-0.05931711196899414,0.0026350021362304688,320245760,8908800,155336704,917504,0,222167040,972587008,3.9656982421875,0,21.320448266612125,1749864448,13350,2.02593994140625,0,0
