context_length,energy_reduction_vs_gpu,fastest_e2e_ms,fastest_route,fastest_route_label,fastest_speedup_vs_gpu,lowest_energy_j,lowest_energy_route,lowest_energy_route_label,model,model_label,precision
1024,0.08234010827580662,374.38952400000005,gpu_full,Whole iGPU,1.0,11.011104825326427,npu_gpu_oracle,NPU prefill + iGPU decode · oracle,qwen25_0_5b,Qwen2.5 0.5B,INT8
2048,0.0619896422039824,630.800407,gpu_full,Whole iGPU,1.0,17.599693868067632,npu_gpu_oracle,NPU prefill + iGPU decode · oracle,qwen25_0_5b,Qwen2.5 0.5B,INT8
4096,0.0,1319.2863100000002,gpu_full,Whole iGPU,1.0,35.23845258394553,gpu_full,Whole iGPU,qwen25_0_5b,Qwen2.5 0.5B,INT8
8192,0.1488637839780066,3065.176968,gpu_full,Whole iGPU,1.0,71.12390254890698,npu_gpu_oracle,NPU prefill + iGPU decode · oracle,qwen25_0_5b,Qwen2.5 0.5B,INT8
1024,0.0,705.444888,gpu_full,Whole iGPU,1.0,23.167475685392333,gpu_full,Whole iGPU,qwen25_1_5b,Qwen2.5 1.5B,INT8
2048,0.0,1118.3348349999999,gpu_full,Whole iGPU,1.0,35.91370598660502,gpu_full,Whole iGPU,qwen25_1_5b,Qwen2.5 1.5B,INT8
4096,0.0,2003.420208,gpu_full,Whole iGPU,1.0,65.44541461298002,gpu_full,Whole iGPU,qwen25_1_5b,Qwen2.5 1.5B,INT8
8192,0.0,4611.812572,gpu_full,Whole iGPU,1.0,147.17802031892046,gpu_full,Whole iGPU,qwen25_1_5b,Qwen2.5 1.5B,INT8
1024,0.0,1159.5252120000002,gpu_full,Whole iGPU,1.0,39.81794016999228,gpu_full,Whole iGPU,qwen25_3b,Qwen2.5 3B,INT8
2048,0.0,1822.605811,gpu_full,Whole iGPU,1.0,59.92964746310727,gpu_full,Whole iGPU,qwen25_3b,Qwen2.5 3B,INT8
4096,0.0,3210.150803,gpu_full,Whole iGPU,1.0,112.90325488563047,gpu_full,Whole iGPU,qwen25_3b,Qwen2.5 3B,INT8
8192,0.0,7387.4511680000005,gpu_full,Whole iGPU,1.0,250.13882033965706,gpu_full,Whole iGPU,qwen25_3b,Qwen2.5 3B,INT8
1024,0.0,2299.523868,gpu_full,Whole iGPU,1.0,79.48445138212134,gpu_full,Whole iGPU,qwen25_7b,Qwen2.5 7B,INT8
2048,0.0,3243.705845,gpu_full,Whole iGPU,1.0,118.64620400500446,gpu_full,Whole iGPU,qwen25_7b,Qwen2.5 7B,INT8
4096,0.0,5803.3662970000005,gpu_full,Whole iGPU,1.0,211.7978605549249,gpu_full,Whole iGPU,qwen25_7b,Qwen2.5 7B,INT8
8192,0.0,12322.179712000001,gpu_full,Whole iGPU,1.0,438.76027407536543,gpu_full,Whole iGPU,qwen25_7b,Qwen2.5 7B,INT8
