model,family,size_b,context_length,output_tokens,placement,placement_label,repeat,repeat_q25,repeat_q75,compile_s,compile_s_q25,compile_s_q75,prefill_top1,prefill_top1_q25,prefill_top1_q75,first_decode_top1,first_decode_top1_q25,first_decode_top1_q75,final_top1,final_top1_q25,final_top1_q75,all_tokens_per_s_e2e,all_tokens_per_s_e2e_q25,all_tokens_per_s_e2e_q75,decode_tokens_per_s,decode_tokens_per_s_q25,decode_tokens_per_s_q75,end_to_end_ms,end_to_end_ms_q25,end_to_end_ms_q75,handoff_estimate_ms,handoff_estimate_ms_q25,handoff_estimate_ms_q75,handoff_plus_first_decode_ms,handoff_plus_first_decode_ms_q25,handoff_plus_first_decode_ms_q75,output_tokens_per_s_e2e,output_tokens_per_s_e2e_q25,output_tokens_per_s_e2e_q75,prefill_tokens_per_s,prefill_tokens_per_s_q25,prefill_tokens_per_s_q75,steady_tpot_ms,steady_tpot_ms_q25,steady_tpot_ms_q75,steady_tpot_p95_ms,steady_tpot_p95_ms_q25,steady_tpot_p95_ms_q75,ttft_ms,ttft_ms_q25,ttft_ms_q75,energy_net_core_j,energy_net_core_j_q25,energy_net_core_j_q75,energy_net_dram_j,energy_net_dram_j_q25,energy_net_dram_j_q75,energy_net_package-0_j,energy_net_package-0_j_q25,energy_net_package-0_j_q75,energy_net_psys_j,energy_net_psys_j_q25,energy_net_psys_j_q75,energy_net_uncore_j,energy_net_uncore_j_q25,energy_net_uncore_j_q75,prefill_energy_net_core_j,prefill_energy_net_core_j_q25,prefill_energy_net_core_j_q75,prefill_energy_net_dram_j,prefill_energy_net_dram_j_q25,prefill_energy_net_dram_j_q75,prefill_energy_net_package-0_j,prefill_energy_net_package-0_j_q25,prefill_energy_net_package-0_j_q75,prefill_energy_net_psys_j,prefill_energy_net_psys_j_q25,prefill_energy_net_psys_j_q75,prefill_energy_net_uncore_j,prefill_energy_net_uncore_j_q25,prefill_energy_net_uncore_j_q75,prefill_npu_utilization,prefill_npu_utilization_q25,prefill_npu_utilization_q75,first_decode_energy_net_core_j,first_decode_energy_net_core_j_q25,first_decode_energy_net_core_j_q75,first_decode_energy_net_dram_j,first_decode_energy_net_dram_j_q25,first_decode_energy_net_dram_j_q75,first_decode_energy_net_package-0_j,first_decode_energy_net_package-0_j_q25,first_decode_energy_net_package-0_j_q75,first_decode_energy_net_psys_j,first_decode_energy_net_psys_j_q25,first_decode_energy_net_psys_j_q75,first_decode_energy_net_uncore_j,first_decode_energy_net_uncore_j_q25,first_decode_energy_net_uncore_j_q75,first_decode_npu_utilization,first_decode_npu_utilization_q25,first_decode_npu_utilization_q75,steady_decode_energy_net_core_j,steady_decode_energy_net_core_j_q25,steady_decode_energy_net_core_j_q75,steady_decode_energy_net_dram_j,steady_decode_energy_net_dram_j_q25,steady_decode_energy_net_dram_j_q75,steady_decode_energy_net_package-0_j,steady_decode_energy_net_package-0_j_q25,steady_decode_energy_net_package-0_j_q75,steady_decode_energy_net_psys_j,steady_decode_energy_net_psys_j_q25,steady_decode_energy_net_psys_j_q75,steady_decode_energy_net_uncore_j,steady_decode_energy_net_uncore_j_q25,steady_decode_energy_net_uncore_j_q75,steady_decode_npu_utilization,steady_decode_npu_utilization_q25,steady_decode_npu_utilization_q75
llama32_1b_int8,Llama 3.2,1.0,1024,16,gpu_gpu,iGPU -> iGPU,1.0,0.5,1.5,0.9162126909941435,0.9162126909941435,0.9162126909941435,301.0,301.0,301.0,3862.0,3862.0,3862.0,42.0,42.0,42.0,1877.1956137916588,1875.8289145025212,1892.1054647899632,51.57508965667457,50.55083681256401,51.84347983357922,554.017915,549.686369,554.4218579999999,8.331447500000001,8.283474,15.36755925,26.744857,26.58263,33.825262,28.879932519871673,28.858906376961865,29.10931484292251,3878.9682801990316,3863.02616240152,4050.9360137913927,18.413409499999997,18.299155999999996,18.457702749999996,20.2119091,20.00039235,20.694874624999997,263.98772199999996,253.23744849999997,265.08167349999997,4.869706007932407,4.785336568699773,4.943064190284549,1.034905828496558,1.0242816002260642,1.0350034482624033,12.307904683242443,12.22170152948668,12.405185462289179,18.44812560932779,18.382492666778283,18.57965713222127,5.654793176666997,5.651284005063532,5.6864188880933,1.063876332435925,0.8777894874204146,1.1023995841777512,0.3220503843232001,0.30614646556896347,0.3223737607321887,4.772014392248202,4.530648065483062,4.81098033555999,7.530989531824492,7.160579636938465,7.57135320539244,3.134887620364849,3.1035376667657237,3.135526376915572,0.0,0.0,0.0,0.8046229830903359,0.8023366777654917,1.0613317649765404,0.050706033399261,0.050561747704877834,0.05351823967946258,1.002894154787824,1.00025530254196,1.2974397146291419,1.2764119737101085,1.2761574185499003,1.6596315235594612,0.1127371522941479,0.11194448498535567,0.16561013197082916,0.0,0.0,0.0,2.8599628186647577,2.8076920645609915,3.0062292432124385,0.6623446503057873,0.6620679398253366,0.6647145147434834,6.4266376700540615,6.354647806062687,6.579736534422838,9.61510479386654,9.522172387872617,9.759445971723348,2.408753738625585,2.403813143162604,2.41806375666554,0.0,0.0,0.0
llama32_1b_int8,Llama 3.2,1.0,1024,16,gpu_npu,iGPU -> NPU,1.0,0.5,1.5,1.7086131712421775,1.7086131712421775,1.7086131712421775,301.0,301.0,301.0,3862.0,3862.0,3862.0,42.0,42.0,42.0,150.70276985745483,149.7618657018397,150.79713286920384,2.3498338641688186,2.333599122352786,2.351864729173587,6901.001229,6896.68555,6944.63205,43.98870450000003,43.95189075000003,92.26984475000003,466.693319,466.619178,514.48725,2.3185041516531513,2.3040287031052262,2.319955890295444,1978.471670126976,1973.9370060874298,1982.6541072242421,422.62996,422.180078,422.66728724999996,423.438781,423.34926282500004,424.160121475,517.571222,516.4816965,518.76296,2.448369351847128,2.384195027620149,6.264468425415375,8.018347048769025,8.00554717454186,8.049656928339054,47.3041686061112,46.2107015534561,51.994933945125325,97.37994485140828,95.36751062390456,100.71995225138997,6.054287046201612,6.033112978202875,6.0569187701437714,0.9107496641662893,0.841024521722178,1.068716857044457,0.6291801905662201,0.6280910418937775,0.6301853643791315,8.204049433228311,8.113853225175902,8.387229732616817,13.797105319315746,13.711469557457264,14.143170409429928,6.040487577456527,6.016590133469061,6.04738731182907,0.007890701465623604,0.00788319379467024,0.00926751151511053,1.5487213241151034,1.543170505897971,2.698420887351335,0.5008813893007981,0.4990574525372954,0.5241954704732531,3.7155492270657917,3.714918640880142,4.986253794627817,6.88731635109666,6.8520946156342095,8.675165323313463,0.019062916629404472,0.009531458314702236,0.01915456867597401,0.9881778487598191,0.9216703696141579,0.9889972005127451,0.0,0.0,2.5028814992367145,6.888285468902006,6.876304357625433,6.8973704159720235,35.38583111818839,34.38192968740005,38.62208100406634,76.69552318099588,74.80394645081309,77.90161651864658,0.0,0.0,0.0,0.9962091116805163,0.9959902919447677,0.9968948187274008
llama32_1b_int8,Llama 3.2,1.0,1024,16,npu_gpu,NPU -> iGPU,1.0,0.5,1.5,2.2934929709881544,2.2934929709881544,2.2934929709881544,301.0,301.0,301.0,3862.0,3862.0,3862.0,42.0,42.0,42.0,179.28908692240466,179.25915546725855,179.56597296419096,2.954004738927048,2.9529279826874593,2.9576952595039927,5800.687693000001,5791.756955000001,5801.656413500001,15.447189000000028,14.540039250000024,26.40131600000001,353.156061,352.20373400000005,362.79606,2.7582936449600717,2.757833161034747,2.762553430218323,1420.1152780518523,1418.3794271406741,1423.5172043606913,337.6185175,336.34956675,337.66369475,338.54539554999997,337.19459589999997,338.84504167499995,721.068223,719.34912,721.951767,12.480687076334162,12.440727592401267,13.057918972127702,6.08270774485121,6.073941794653746,6.085162463386412,70.43160156286734,70.38649720446563,71.1767007986821,125.78838324140554,125.51163301782802,127.80459663351243,40.19845986599561,40.16520016457484,40.26466914207081,0.0,0.0,0.0,0.7748878967669335,0.7747397942497318,0.775953966789625,6.6272031214273195,6.601890670840046,6.825107614962425,11.193504525188112,11.094132266886964,11.39992818690613,0.0,0.0,0.0,0.9921365928593816,0.9912142785827402,0.9924270161510007,2.513008362246593,2.4499774623545565,2.587442964981079,0.358120264585989,0.3577851795968986,0.3601296869936768,5.861443099773321,5.836266678940015,5.945309319821292,9.390899873217428,9.371352662173074,9.461655821258457,2.6071177560919616,2.603496986615177,2.641788209101139,0.011598271847300957,0.011210803111332754,0.013622592129763269,9.967678714087569,9.853284627420187,10.607941509773145,4.943548598637529,4.938341328376736,4.94907880960311,57.99358024284125,57.83929721380428,58.540638955366944,105.06246694691794,104.9558449296826,106.96255983639219,37.59134210990365,37.523411955473705,37.66117215545563,0.016283306437524223,0.01627921342395798,0.016333314169881666
llama32_1b_int8,Llama 3.2,1.0,1024,16,npu_npu,NPU -> NPU,1.0,0.5,1.5,39.75868088193238,39.75868088193238,39.75868088193238,301.0,301.0,301.0,3862.0,3862.0,3862.0,42.0,42.0,42.0,147.21402460179146,144.43430146095022,147.38160346654934,2.3648895615556933,2.3140222412217213,2.3664204458913907,7064.544311000001,7056.5207605000005,7203.173627,4.067814500000044,2.762832750000027,142.35227125000006,426.685509,425.301371,565.0865205,2.264831147719869,2.2220661763223113,2.2674092841007587,1434.3593828475452,1426.563249622896,1434.3797744615345,422.61769449999997,422.53853825,422.73424924999995,423.7127591,423.4190721,424.537054475,713.907555,713.897406,717.830481,4.191964844814994,3.8455172938748987,4.758302468208673,8.155514691251883,8.134884400599345,8.200401308199595,49.72296134585107,48.61672841627667,50.15155614370364,93.00348856067706,92.81495745626297,95.5342685817652,0.0,0.0,0.0,0.0,0.0,0.0,0.7746685317885509,0.765202821395014,0.7770438310239676,6.396435038385817,6.386516670773778,6.436363794523471,10.584513542534843,10.278235148842146,10.920029877579168,0.0,0.0,0.0,0.9918006820925154,0.9908941942585086,0.9920375063017512,1.8611931602880256,1.760017590150384,2.6801314516114143,0.49511499267508075,0.48960009506834534,0.5262338188346594,4.461612530937014,4.340056802356779,5.145953809877257,7.435745652144755,7.158145354933689,8.893269579227734,0.0,0.0,0.0,0.9864331229016112,0.8225848721318256,0.9870990476263555,2.533122824802252,1.266561412401126,2.998284878058289,6.880980568317417,6.877706184900569,6.897123658340969,39.028167721413396,37.15596654045618,39.385053914435424,75.77392453897681,75.37857695248714,76.11631671144798,0.0,0.0,0.0,0.9970076176908262,0.9967631082507219,0.9972020745141572
llama32_1b_int8,Llama 3.2,1.0,1024,16,openvino_auto,OpenVINO AUTO,1.0,0.5,1.5,3.64777375664562,3.64777375664562,3.64777375664562,301.0,301.0,301.0,3862.0,3862.0,3862.0,42.0,42.0,42.0,1861.354957161596,1831.0356874793747,1861.753798401804,47.46916200700933,47.44370322863879,49.2699736654765,558.732764,558.6130929999999,568.1403359999999,11.079561999999997,9.736413749999999,19.22576925,29.930676,28.565175,38.095470500000005,28.6362301101784,28.169779807374994,28.64236612925852,3920.1578690450588,3893.7346845581555,4069.347795196835,18.851114000000003,18.82876125,18.86970125,20.8210744,20.492211825,24.05158005,261.21397,251.976055,262.99869950000004,4.913939823173772,4.72893106724853,4.957564092580499,1.035155769037676,1.025550020968487,1.0355904588446265,12.427549785068202,12.213312543837613,12.446850371030022,18.736767384684104,18.483892400222253,18.77966529236057,5.704100164361776,5.686613909780168,5.7274883715406615,0.9681751241759914,0.8196949229489188,1.0245074251431148,0.31920240043252035,0.30575655218239967,0.3204831384311666,4.667668751448581,4.469388074701266,4.785492993400691,7.438629939239017,7.120471835842945,7.565238422287774,3.128232988548179,3.1008815935209126,3.18857014862827,0.0,0.0,0.0,0.9646516653823695,0.884480227052868,1.2186508238508018,0.050246894887919,0.049909929234642464,0.053623172305190134,1.1726512263422912,1.0873214875282857,1.4547561540999636,1.4554999232722063,1.3707626449820294,1.8927404311021945,0.11926721956644505,0.11804391923002192,0.16539017506694492,0.0,0.0,0.0,2.8573236579461456,2.8143810281850374,2.862886044813655,0.6657064737172367,0.6651973911788175,0.666170296480897,6.39018249529675,6.359798648870456,6.404881900276682,9.589420556075366,9.547891332952451,9.639844542366674,2.4190568353006845,2.4021027432091353,2.42034214119231,0.0,0.0,0.0
llama32_1b_int8,Llama 3.2,1.0,2048,16,gpu_gpu,iGPU -> iGPU,1.0,0.5,1.5,0.9263889649882913,0.9263889649882913,0.9263889649882913,78.0,78.0,78.0,62.0,62.0,62.0,42.0,42.0,42.0,2427.9887018721706,2419.75784012624,2463.6122729911967,49.370057160388875,48.204131488606215,49.837107607785285,850.086328,837.96938,852.9877855,11.1226,9.7393755,18.3012185,30.187937,28.8149035,37.3917385,18.821617843970312,18.7578127141569,19.09776955807129,3710.8155498870033,3710.2740562113418,3875.2801711617967,19.085719,19.075528000000002,19.100710999999997,21.0000635,20.586709825,21.075576325,551.9002419999999,529.43148,551.9808005,5.8707971089068325,5.851826154467929,6.138628448833657,1.3758263118401013,1.3509180298955712,1.3765642330239318,18.146497850346556,18.028180920881557,18.402367660181874,27.20807276405998,26.898657584742573,27.443035165380355,9.86101276304203,9.820180062424775,9.869929713280893,2.0891814022288937,1.8091097795843503,2.359155379278099,0.6415013044781119,0.6132828966342331,0.6418176623939396,10.445966186766958,10.045397199625569,10.714255778457296,16.062874585270915,15.412027521099045,16.317177730116573,7.2059418459177875,7.145105589518863,7.211862511125211,0.0,0.0,0.0,0.9155828846287015,0.8791948139900938,1.1626031235982963,0.052433819703007076,0.05234522115873792,0.054869461167584524,1.1345496469974425,1.091614585456382,1.3960020551479615,1.4197285648511648,1.3804782731322383,1.7418829852023356,0.11798009130896239,0.11694490709285435,0.13276581792708606,0.0,0.0,0.0,2.8941936805213286,2.8779706141629027,2.9165013219238904,0.6833670300266431,0.6824013494712542,0.6835035932775839,6.607581315633894,6.574361884253005,6.629716727649084,9.764024542944478,9.725406334915906,9.783997370160115,2.5451537643103745,2.541122295062827,2.546340124226373,0.0,0.0,0.0
llama32_1b_int8,Llama 3.2,1.0,2048,16,gpu_npu,iGPU -> NPU,1.0,0.5,1.5,2.5453991973772645,2.5453991973772645,2.5453991973772645,90.0,90.0,90.0,77.0,69.5,1353.0,62.0,52.0,369.5,269.65035283756504,265.3730110762946,270.0917706046098,2.3348161437797113,2.291719033756925,2.3437755162276304,7654.356756,7641.86746,7779.752554,67.01078250000003,64.13493425,169.05500899999998,490.969545,487.798405,593.3234375,2.090312812694303,2.057155124622439,2.0937346558496888,1659.1110226820779,1646.2601819452068,1662.1651714993154,423.9587625,423.66347075,424.2684285,424.71060780000005,424.50063925,430.8425551,1234.395994,1232.1320105,1244.107599,6.710169419263683,4.622781025441625,7.663829225744317,8.936508971540258,8.88896584927773,8.99557604224266,62.38701554894765,58.56092290897661,63.40958701647327,115.23947117847025,111.97094911426495,118.07740952101912,13.463254530552101,13.427202739240851,13.477294683290824,3.0848182190234286,2.19017548918982,3.209160535600451,1.5223966319842657,1.52206343812239,1.5259862925987133,19.57232410361749,18.6660339725431,19.647223618257012,33.04728088490554,32.07707684128484,33.09475914467548,13.463254530552101,13.415621173474703,13.465767614227463,0.0033621493601117903,0.003348380455346923,0.003934403444504235,2.1399565176531645,1.6899081949582597,2.8826538589467097,0.5105732213977197,0.5009707524707607,0.5448177723930384,4.367161610078027,3.8701255378677937,5.137320362856899,7.141884072285609,6.635264484407158,8.635860713642963,0.023054138126719807,0.011527069063359903,0.02310863482950884,0.9406548762789895,0.8259571091537852,0.9429219246264315,0.0,0.0,1.5720148311971567,6.9042055058820235,6.862341998070131,6.928694831727233,36.90721232969439,35.25460464578684,38.62504303535936,75.0503062212791,73.25860778857296,76.34678966270067,0.0,0.0,0.0,0.9964800652810829,0.9935531435439582,0.9968805372466862
llama32_1b_int8,Llama 3.2,1.0,2048,16,npu_gpu,NPU -> iGPU,1.0,0.5,1.5,3.0532968305051327,3.0532968305051327,3.0532968305051327,78.0,78.0,78.0,220.0,220.0,220.0,42.0,42.0,42.0,311.0753483310109,310.55151368769157,311.51421343679,2.8814564782341243,2.8753175078926194,2.885812011551094,6635.048424999999,6625.7140365,6646.259257,28.149330999999943,23.613778499999988,30.910990999999967,374.843328,369.911087,376.028915,2.4114368087675264,2.407376075098384,2.4148388638510854,1432.8213921034207,1432.7486461110784,1434.3174350797776,345.90062,344.72123550000003,346.2973085,347.17273819999997,346.00420822499996,347.30691425,1429.3477269999998,1427.858421,1429.420304,13.255062828434006,13.234725987289721,13.673224191177473,7.144694878119375,7.140146697854286,7.153738670551597,81.73232584771189,81.45987742899183,82.42609150243518,141.44813161104162,141.32148854039255,142.4977318277298,41.84545045193081,41.75550702136141,41.92801486342537,0.0,0.0,0.1210016078566234,1.5938825811518609,1.5924464865753785,1.5942097262805985,15.098025062237484,14.828214011636616,15.392867636806155,23.458926427935207,23.45438634645722,23.902129566917672,0.0,0.0,0.0,0.9857404809279354,0.9857090103219368,0.9857663963061074,2.478579195571898,2.4525843892716765,2.57823983979955,0.3803722419426058,0.3782964043850483,0.3809535736164538,5.980033078311317,5.9624117441923525,6.102677430403692,9.588581381018777,9.587362776046891,9.658952174078294,2.7292042803693524,2.719711348996209,2.749661395289898,0.01480618590602205,0.014721210324861168,0.014944625921746425,10.82847324546255,10.782141598018043,10.999977549821521,5.169277391677213,5.168822475220011,5.178575370654546,60.689510375401014,60.66925167316286,60.948167769344295,108.26896237892458,108.20815001985704,108.94240877318373,39.13523203430774,39.035795672365204,39.187846399508615,0.01601682607893828,0.015986144739712285,0.016044178476211375
llama32_1b_int8,Llama 3.2,1.0,2048,16,npu_npu,NPU -> NPU,1.0,0.5,1.5,37.31754811760038,37.31754811760038,37.31754811760038,78.0,78.0,78.0,220.0,220.0,220.0,42.0,42.0,42.0,263.71085546828317,260.6937148924793,263.9047846560318,2.346893317431936,2.3121556862997936,2.3476963740053467,7826.754027,7821.006797,7918.397659,27.405574499999975,26.518607000000003,102.81855449999996,451.58689699999996,450.7800455,527.083588,2.0442701974285513,2.0208815107944127,2.0457735244653623,1438.3725256497587,1430.447079025936,1438.4716194437424,424.3415545,424.2614385,424.34514950000005,425.6856833,425.085469925,432.83270715,1423.831423,1423.7333445,1431.764167,1.9527242170806296,1.9101218948504122,3.5966886057648195,9.044534963304898,9.030853532823716,9.076709053278112,53.27209770664489,52.67924964171121,56.48413195725573,103.26478887913437,102.66947794310894,105.96206866925979,0.0,0.0,0.0,0.0,0.0,0.11625597100898144,1.597361111466196,1.5915737589602843,1.6015086687477802,14.269477900478744,14.203329474974574,14.949709528763425,23.241593529977393,23.164010329833836,23.743135749671655,0.0,0.0,0.0,0.9865739562344242,0.9825496796053589,0.9869629334584309,1.9527242170806296,1.9101218948504122,2.703920444397744,0.5049138729497291,0.5045341023162438,0.5284711384599936,4.579074874913207,4.529911709039794,5.361281377909084,7.6478048425843665,7.597474846667554,8.82572685136656,0.0,0.0,0.0,0.9363734926967999,0.8308620737963466,0.937109123977855,0.0,0.0,0.776512190358094,6.933964864325803,6.930598114265605,6.946729246070338,34.52187126299977,33.946008457696834,36.222304216456635,72.47605049840624,71.90799276660755,73.4435360641384,0.0,0.0,0.0,0.9962155818416161,0.9934130731612245,0.9967478128226683
llama32_1b_int8,Llama 3.2,1.0,2048,16,openvino_auto,OpenVINO AUTO,1.0,0.5,1.5,1.2498553758487105,1.2498553758487105,1.2498553758487105,78.0,78.0,78.0,62.0,62.0,62.0,42.0,42.0,42.0,2339.0249724765945,2334.855113835532,2411.635910193401,46.39220932535986,46.00348298458674,47.65617295219016,882.418967,856.6271385,883.997714,15.7972205,12.663083750000002,20.119331,35.206989,32.092629,39.6507295,18.131976530826314,18.09965204523668,18.694852017003107,3699.5688855165245,3618.490664504875,3867.4979178291364,19.449322,19.42954525,19.55117525,21.3766691,21.314178475,24.60390075,553.578015,530.5415875,566.2661370000001,5.7644601058551155,5.595996592663411,5.790691076287088,1.3760100633157788,1.3504028261513983,1.3793500506381706,17.849859104598497,17.75450504346051,17.95096048768619,27.039432773632214,26.878869620582122,27.216182494628185,9.822682881213405,9.801132512127623,9.834191118869567,1.7104353809625494,1.5225318874056248,2.049833694625673,0.6445676686893689,0.6133038366327135,0.6461412157025768,10.051749500439131,9.753236729691608,10.387223319257838,15.867298651997107,15.243077516647185,16.201934206214045,7.1889196946089315,7.134793457650969,7.189647215102639,0.0,0.0,0.0,0.9961331744773075,0.9229062820858949,1.1945254694104919,0.05342085097001623,0.05270697017237369,0.05561359892590363,1.196809022818414,1.1220147462526802,1.4139300186080317,1.5098489074454722,1.448753494639626,1.7745807712526611,0.11064579835851766,0.11010218521267798,0.12684168524298195,0.0,0.0,0.0,2.867418308814675,2.649487586383816,2.952166128238707,0.6815544242747616,0.6805018647632202,0.6832518309019651,6.560181012196448,6.346368361037684,6.662132571726605,9.784476039801326,9.565494793774512,9.922306745488124,2.5446788225708663,2.534441718554251,2.550278086396127,0.0,0.0,0.0
