all_tokens_per_s_e2e,compile_s,context_length,decode_energy_net_psys_j,decode_gpu_active_fraction,decode_npu_utilization,decode_tokens_per_s,end_to_end_ms,energy_net_psys_j,family,final_top1,first_decode_top1,handoff_estimate_ms,handoff_plus_first_decode_ms,model,output_tokens_per_s_e2e,placement,placement_label,precision,prefill_energy_net_psys_j,prefill_gpu_active_fraction,prefill_npu_utilization,prefill_tokens_per_s,prefill_top1,qualification_reason,qualified,repeat,size_b,steady_tpot_ms,steady_tpot_p95_ms,ttft_ms
1171.2164163915008,1.1579051027074456,1024,19.587807629552028,1.0,0.0,25.96060966581099,874.3046850000001,28.611885485606145,Llama 3.2,42,546,19.738152999999993,56.5368,llama32_1b_fp16,18.3002565061172,gpu_gpu,iGPU → iGPU,FP16,9.024077856054117,0.8,0.0,3399.591231531468,5809,top1_match_all_repeats,True,0,1.0,36.798647,39.3622204,296.506236
1110.9608818598306,1.1579051027074456,1024,18.74941740401262,1.0,0.0,25.240822816698234,921.7246230000001,28.473249027060497,Llama 3.2,42,546,11.256723000000003,49.454652,llama32_1b_fp16,17.358763779059853,gpu_gpu,iGPU → iGPU,FP16,9.723831623047879,0.7272727272727273,0.0,3078.3398461903835,5809,top1_match_all_repeats,True,1,1.0,38.197929,42.97029485,327.449226
1117.1855798031909,1.1579051027074456,1024,19.09353604290219,1.0,0.0,25.393661298258756,916.588988,29.122765897675617,Llama 3.2,42,546,12.7774825,50.954615000000004,llama32_1b_fp16,17.456024684424857,gpu_gpu,iGPU → iGPU,FP16,10.029229854773428,0.7272727272727273,0.0,3093.0644642042917,5809,top1_match_all_repeats,True,2,1.0,38.1771325,40.4363914,325.890395
936.1186653200733,3.0791938668116927,1024,14.32134561256013,0.0,0.9800818309403341,20.525507423692204,1093.8784130000001,25.48040917313246,Llama 3.2,42,546,140.52945250000002,178.32067400000003,llama32_1b_fp16,14.626854145626146,gpu_npu,iGPU → NPU,FP16,11.159063560572331,0.9722222222222222,0.025809710324161204,2776.2445850767785,5809,top1_match_all_repeats,True,0,1.0,37.7912215,46.6162753,363.08040200000005
1052.3154418836605,3.0791938668116927,1024,12.904239807040147,0.0,0.9783933003719586,24.523744588437246,973.092249,23.627874328239827,Llama 3.2,42,546,17.964838499999995,55.982928,llama32_1b_fp16,16.442428779432195,gpu_npu,iGPU → NPU,FP16,10.723634521199678,0.9722222222222222,0.022559751968226304,2788.843510420912,5809,top1_match_all_repeats,True,1,1.0,38.0180895,46.445875050000005,361.44014400000003
1053.6226741846665,3.0791938668116927,1024,12.453950666029664,0.0,0.9805516721575241,24.58461776556627,971.8849309999999,23.236118350385535,Llama 3.2,42,546,18.176638500000003,56.186184,llama32_1b_fp16,16.462854284135414,gpu_npu,iGPU → NPU,FP16,10.782167684355873,0.9722222222222222,0.02231115366555392,2786.4753927491456,5809,top1_match_all_repeats,True,2,1.0,38.0095455,45.8224811,361.747318
173.6991077156562,14.522015229798853,1024,118.75174042995606,0.9977528089887641,0.030497948058312328,2.73146209932149,5895.251929999999,125.22350993163995,Llama 3.2,802,90,677.2658710000001,996.606247,llama32_1b_fp16,2.714048558057128,npu_gpu_combined,NPU + iGPU subgraphs,FP16,6.4717695016839,0.1,0.8605195019408315,2496.9807155726944,5809,top1_mismatch,False,0,1.0,319.340376,332.3457439,403.68753899999996
192.2370507873706,14.522015229798853,1024,110.60228031608017,1.0,0.029884539373416927,3.0536580641770157,5326.756708999999,117.38415410570833,Llama 3.2,8940,802,34.05667150000002,358.71662599999996,llama32_1b_fp16,3.0037039185526657,npu_gpu_combined,NPU + iGPU subgraphs,FP16,6.7818737896281585,0.0975609756097561,0.8396287784543176,2431.168893413972,5809,top1_mismatch,False,1,1.0,324.65995449999997,331.10038959999997,414.615374
190.27354391373697,14.522015229798853,1024,113.02541073821229,0.9978021978021978,0.029598148160331315,3.0181301006750814,5381.725588,120.43872194174978,Llama 3.2,3765,8940,46.12672950000002,371.028312,llama32_1b_fp16,2.97302412365214,npu_gpu_combined,NPU + iGPU subgraphs,FP16,7.413311203537493,0.0975609756097561,0.8532281554032323,2448.0225791614002,5809,top1_mismatch,False,2,1.0,324.9015825,343.38017314999996,411.760908
1161.5233164593224,4.770954256877303,1024,19.397244899954835,0.9811320754716981,0.0,25.521630132804763,881.6008989999999,28.60942885214928,Llama 3.2,42,546,17.576560999999998,54.989588,llama32_1b_fp16,18.148801819676912,openvino_auto,OpenVINO AUTO (actual iGPU),FP16,9.212183952194442,0.8275862068965517,0.0,3430.156452532469,5809,baseline,True,0,1.0,37.413027,40.821983800000005,293.864147
1120.6665873700208,4.770954256877303,1024,19.015142796041655,0.9814814814814815,0.0,25.2723554572565,913.7418850000001,28.993267182636274,Llama 3.2,42,546,10.164394,48.279068,llama32_1b_fp16,17.510415427656575,openvino_auto,OpenVINO AUTO (actual iGPU),FP16,9.978124386594619,0.78125,0.0,3147.9540954465865,5809,baseline,True,1,1.0,38.114674,42.4972871,320.207973
1124.9655155224127,4.770954256877303,1024,18.604405112217165,0.9811320754716981,0.0,25.46414952552676,910.2501239999998,28.20666017869245,Llama 3.2,42,546,10.166610499999999,48.218759,llama32_1b_fp16,17.5775861800377,openvino_auto,OpenVINO AUTO (actual iGPU),FP16,9.602255066475285,0.78125,0.0,3138.361924210023,5809,baseline,True,2,1.0,38.0521485,41.2908715,321.186665
1632.0752488184387,1.1849790308624506,2048,19.20547268773855,1.0,0.0,24.502581425361424,1254.8441019999998,39.010278270589,Llama 3.2,42,3862,19.5501405,58.568968999999996,llama32_1b_fp16,12.750587881394052,gpu_gpu,iGPU → iGPU,FP16,19.80480558285045,0.828125,0.0,3161.8402922538776,8,top1_match_all_repeats,True,0,1.0,39.0188285,42.345227900000005,642.663706
1602.153789107206,1.1849790308624506,2048,18.42189832826378,1.0,0.0,25.44030908225242,1278.279285,38.90379185876414,Llama 3.2,42,3862,12.049381499999997,50.331739999999996,llama32_1b_fp16,12.516826477400047,gpu_gpu,iGPU → iGPU,FP16,20.481893530500358,0.7647058823529411,0.0,2950.6414876831186,8,top1_match_all_repeats,True,1,1.0,38.2823585,39.660728899999995,688.6638069999999
1592.1749452598515,1.1849790308624506,2048,18.128341080138657,0.9818181818181818,0.0,24.565094490356536,1286.29081,38.58566849713154,Llama 3.2,42,3862,12.980355500000005,52.48689,llama32_1b_fp16,12.43886675984259,gpu_gpu,iGPU → iGPU,FP16,20.457327416992882,0.7910447761194029,0.0,3007.3928910139794,8,top1_match_all_repeats,True,2,1.0,39.506534499999994,42.16395955,675.668286
1221.6501600116544,3.8732490157708526,2048,16.501746642029346,0.0,0.9792189724361298,19.37041679877237,1676.421014,44.241178779378494,Llama 3.2,42,370,151.2270395,191.129247,llama32_1b_fp16,9.54414187509105,gpu_npu,iGPU → NPU,FP16,27.739432137349148,0.9888888888888889,0.010782175733201392,2252.6610209608502,90,top1_mismatch,False,0,1.0,39.902207499999996,48.3112845,902.044285
1308.4061208293747,3.8732490157708526,2048,14.090432111939972,0.0,0.9775483143436434,22.47622076528829,1565.263237,42.1003161397483,Llama 3.2,75,83,42.030404499999996,82.167147,llama32_1b_fp16,10.22192281897949,gpu_npu,iGPU → NPU,FP16,28.009884027808333,0.9887640449438202,0.008887490501285704,2263.0802880466854,90,top1_mismatch,False,1,1.0,40.136742500000004,48.466140249999995,897.891255
1290.838768948975,3.8732490157708526,2048,14.992821052866267,0.0,0.9818922184982455,21.91725837821502,1586.565301,43.31773556678963,Llama 3.2,62,62,62.070555999999996,101.914796,llama32_1b_fp16,10.084677882413867,gpu_npu,iGPU → NPU,FP16,28.32491451392336,0.9888888888888889,0.010361647524657163,2252.339299326418,90,top1_mismatch,False,2,1.0,39.844240000000006,48.58107759999999,902.173132
1633.6238106579526,3.2246395656839013,2048,20.225515355244333,0.9821428571428571,0.0,24.215759902290376,1253.6545970000002,40.32692137537289,Llama 3.2,42,3862,21.786800999999993,60.947029,llama32_1b_fp16,12.762686020765255,openvino_auto,OpenVINO AUTO (actual iGPU),FP16,20.101406020128554,0.8253968253968254,0.0,3203.9189630380047,8,baseline,True,0,1.0,39.160228000000004,42.22771325,634.223282
1617.1253345520813,3.2246395656839013,2048,18.78124135616057,1.0,0.0,25.248461695390443,1266.4448180000002,40.58684960059669,Llama 3.2,42,3862,12.310220000000003,50.639573,llama32_1b_fp16,12.633791676188135,openvino_auto,OpenVINO AUTO (actual iGPU),FP16,21.80560824443612,0.7910447761194029,0.0,3022.238957969607,8,baseline,True,1,1.0,38.329353,41.38146835,672.3492180000001
1607.7192075447776,3.2246395656839013,2048,19.540243040920743,1.0,0.0,25.110921889340272,1273.854284,41.82268899919216,Llama 3.2,42,3862,12.282993499999998,50.922438,llama32_1b_fp16,12.560306308943575,openvino_auto,OpenVINO AUTO (actual iGPU),FP16,22.282445958271417,0.7910447761194029,0.0,3003.6748453983278,8,baseline,True,2,1.0,38.6394445,40.783110050000005,676.5046500000001
1791.4238235718765,1.166511282324791,4096,20.888906418310242,0.9827586206896551,0.0,23.23151177517207,2286.449441,72.45499675437996,Llama 3.2,42,3862,26.066698499999998,66.839538,llama32_1b_fp16,6.9977493108276425,gpu_gpu,iGPU → iGPU,FP16,51.56609033606972,0.8588957055214724,0.0,2486.630225771123,72,top1_match_all_repeats,True,0,1.0,40.7728395,43.9999003,1640.774715
1748.226123800929,1.166511282324791,4096,20.1610555627554,0.9824561403508771,0.0,23.853103467420855,2342.9463410000003,73.20888586969251,Llama 3.2,42,3862,19.824571000000006,59.793139000000004,llama32_1b_fp16,6.829008296097379,gpu_gpu,iGPU → iGPU,FP16,53.0478303069371,0.8352941176470589,0.0,2380.2615383773136,72,top1_match_all_repeats,True,1,1.0,39.968568,43.72544909999999,1714.097352
1751.1104518795883,1.166511282324791,4096,19.668259780143995,1.0,0.0,23.812829937474554,2339.0871750000006,71.61356315581945,Llama 3.2,42,3862,20.376389500000002,60.345018,llama32_1b_fp16,6.840275202654642,gpu_gpu,iGPU → iGPU,FP16,51.94530337567546,0.834319526627219,0.0,2387.117089941522,72,top1_match_all_repeats,True,2,1.0,39.9686285,43.48767765,1709.174643
1419.0084209097367,4.908063311129808,4096,16.63009890615369,0.0,0.9836042352390698,17.887835209400944,2886.5226869999997,81.0669726652864,Llama 3.2,83,285,175.831959,218.581712,llama32_1b_fp16,5.543001644178659,gpu_npu,iGPU → NPU,FP16,64.43687375913271,0.9901477832512315,0.004808190039366015,1992.2225409376806,90,top1_mismatch,False,0,1.0,42.749753,50.35086325,2047.9639779999998
1459.1746779203918,4.908063311129808,4096,14.522719591881572,0.0,0.9782688564051516,19.842784979637216,2807.066256,78.4294520433472,Llama 3.2,16,16,85.7579085,128.891749,llama32_1b_fp16,5.69990108562653,gpu_npu,iGPU → NPU,FP16,63.90673245146563,0.9901477832512315,0.003765252645756447,1989.1532817151763,36802,top1_mismatch,False,1,1.0,43.133840500000005,51.68753355,2051.123982
1458.0934344386096,4.908063311129808,4096,15.486039834949413,0.0,0.9776616995196411,19.82939927041136,2809.1478249999996,80.49619676760318,Llama 3.2,7952,7952,87.09321399999999,129.952624,llama32_1b_fp16,5.695677478275819,gpu_npu,iGPU → NPU,FP16,65.01015693265377,0.9901477832512315,0.0037964719670027475,1987.630646140281,36802,top1_mismatch,False,2,1.0,42.859410000000004,52.703164599999994,2052.695257
1802.0084721850667,1.496285448782146,4096,18.889122631035587,0.9824561403508771,0.0,23.255637931745145,2273.0192799999995,67.9004930244886,Llama 3.2,42,3862,25.405990000000003,66.28313700000001,llama32_1b_fp16,7.039095594472917,openvino_auto,OpenVINO AUTO (actual iGPU),FP16,49.011370393453014,0.8571428571428571,0.0,2506.1203420634615,72,baseline,True,0,1.0,40.877147,43.18287125,1628.014398
1740.2919459129414,1.496285448782146,4096,20.150184163706534,1.0,0.0,23.802358204040285,2353.628085,72.66484965943805,Llama 3.2,42,3862,21.885813000000002,61.732753,llama32_1b_fp16,6.798015413722427,openvino_auto,OpenVINO AUTO (actual iGPU),FP16,52.51466549573151,0.8362573099415205,0.0,2367.3604687284605,72,baseline,True,1,1.0,39.84694,43.49010445,1723.438426
1753.5006315521923,1.496285448782146,4096,21.08394402854552,1.0,0.0,24.010657466465695,2335.8987879999995,74.91467573297432,Llama 3.2,42,3862,20.0771685,59.830186,llama32_1b_fp16,6.849611842000751,openvino_auto,OpenVINO AUTO (actual iGPU),FP16,53.8307317044288,0.8402366863905325,0.0,2384.324882993946,72,baseline,True,2,1.0,39.7530175,43.07203225000001,1711.176203
1636.1312634918727,1.156899374909699,8192,22.303028972212015,0.9841269841269841,0.0,21.094972489912774,5006.933235,153.06892909409794,Llama 3.2,42,546,32.444108,77.134974,llama32_1b_fp16,3.195568874007564,gpu_gpu,iGPU → iGPU,FP16,130.76590012188592,0.8938679245283019,0.0,1903.2262817325463,198,top1_match_all_repeats,True,0,1.0,44.69086599999999,47.949569,4295.863334
1580.8902175759986,1.156899374909699,8192,22.09701103903003,0.9841269841269841,0.0,21.236507844865102,5181.8904999999995,156.69767674481108,Llama 3.2,42,546,31.548724,75.730897,llama32_1b_fp16,3.087676206203122,gpu_gpu,iGPU → iGPU,FP16,134.60066570578104,0.8733031674208145,0.0,1826.810630307582,198,top1_match_all_repeats,True,1,1.0,44.182173000000006,48.84928345,4475.55968
1578.3140308760924,1.156899374909699,8192,22.97472825309377,0.9838709677419355,0.0,21.482071330361432,5190.3485869999995,160.02045691479918,Llama 3.2,42,546,30.237168999999994,74.175101,llama32_1b_fp16,3.082644591554868,gpu_gpu,iGPU → iGPU,FP16,137.04572866170543,0.8741573033707866,0.0,1820.0874304553242,198,top1_match_all_repeats,True,2,1.0,43.937931999999996,47.9535477,4492.091898
1318.6744538164178,7.078193558380008,8192,18.123776763929655,0.0,0.9786963064543527,15.755154612359009,6212.2990070000005,180.18771974942854,Llama 3.2,1506,1506,219.001846,266.481815,llama32_1b_fp16,2.575536042610191,gpu_npu,iGPU → NPU,FP16,162.0639429854989,0.9942196531791907,0.0018468775425488102,1554.3047645783913,36802,top1_mismatch,False,0,1.0,47.479969,55.725221499999996,5260.229645
1335.5482612176588,7.078193558380008,8192,16.08863236762283,0.0,0.9778508370210225,17.47525852897468,6133.810539,177.58114109489182,Llama 3.2,7952,7952,123.2905085,170.791411,llama32_1b_fp16,2.60849269769074,gpu_npu,iGPU → NPU,FP16,161.49250872726898,0.9923224568138196,0.0018254352604087723,1549.8191785152774,70047,top1_mismatch,False,1,1.0,47.500902499999995,56.091384250000004,5275.4541389999995
1350.2556529500794,7.078193558380008,8192,16.775303210943793,0.0,0.9816486165177716,17.752097188973398,6066.999225,178.46026643441846,Llama 3.2,7952,7952,113.50485349999998,160.71759899999998,llama32_1b_fp16,2.6372180721681238,gpu_npu,iGPU → NPU,FP16,161.68496322347465,0.9941972920696325,0.0014251166581643545,1565.6750600848916,128009,top1_mismatch,False,2,1.0,47.2127455,55.732401749999994,5222.028637
1633.6948187509818,1.4913084590807557,8192,22.095071579145852,0.9841269841269841,0.0,21.039996389312194,5014.400429,150.6168131832479,Llama 3.2,42,546,34.614231,79.306005,llama32_1b_fp16,3.1908101928730113,openvino_auto,OpenVINO AUTO (actual iGPU),FP16,128.52174160410203,0.8941176470588236,0.0,1900.7444322758727,198,baseline,True,0,1.0,44.691774,48.0945765,4301.4725499999995
1570.2536063848963,1.4913084590807557,8192,21.801416553204866,0.984375,0.0,21.04278621303582,5216.99168,159.13847064215634,Llama 3.2,42,546,31.057063999999997,75.567174,llama32_1b_fp16,3.0669015749705006,openvino_auto,OpenVINO AUTO (actual iGPU),FP16,137.33705408895148,0.8677130044843049,0.0,1815.2115043771373,198,baseline,True,1,1.0,44.510110000000005,49.04146014999999,4504.1583200000005
1578.5734241658304,1.4913084590807557,8192,22.34406842728574,0.9838709677419355,0.0,21.289175594032894,5189.495702,159.4963461676301,Llama 3.2,42,546,35.1541915,79.30196000000001,llama32_1b_fp16,3.0831512190738875,openvino_auto,OpenVINO AUTO (actual iGPU),FP16,137.15227774034435,0.8738738738738738,0.0,1823.0010919172291,198,baseline,True,2,1.0,44.147768500000005,46.964878549999995,4484.912289000001
536.0696183352625,2.5536438301205635,1024,43.2158306305956,0.9918032786885246,0.0,11.257175278493813,1910.199655,65.31244432195557,Llama 3.2,42,546,19.85353849999999,106.855062,llama32_3b_fp16,8.376087786488476,gpu_gpu,iGPU → iGPU,FP16,22.096613691359966,0.896551724137931,0.0,1744.8013915164981,198,top1_match_all_repeats,True,0,3.0,87.0015235,89.6039883,577.716183
528.0297347486922,2.5536438301205635,1024,42.654333893187946,0.9917355371900827,0.0,11.351113110507946,1939.284727,65.59992683783813,Llama 3.2,42,546,9.935859500000005,96.843889,llama32_3b_fp16,8.250464605448316,gpu_gpu,iGPU → iGPU,FP16,22.945592944650176,0.8548387096774194,0.0,1631.5209299832452,198,top1_match_all_repeats,True,1,3.0,86.9080295,89.6742428,617.828421
531.7407937505551,2.5536438301205635,1024,41.74629337994422,0.9917355371900827,0.0,11.383173770453885,1925.750313,64.41574896248571,Llama 3.2,42,546,6.480631499999986,93.447459,llama32_3b_fp16,8.308449902352423,gpu_gpu,iGPU → iGPU,FP16,22.669455582541488,0.8688524590163934,0.0,1657.851428200273,198,top1_match_all_repeats,True,2,3.0,86.96682750000001,89.9530712,608.015883
417.70319469682715,5.555001899600029,1024,31.86967895022513,0.0,0.9884603320776447,8.689975332919893,2451.50148,57.48192160034395,Llama 3.2,42,546,258.53080500000004,355.744117,llama32_3b_fp16,6.526612417137924,gpu_npu,iGPU → NPU,FP16,25.612242650118823,0.9861111111111112,0.019581606497413053,1389.6268198671048,198,top1_match_all_repeats,True,0,3.0,97.213312,100.73025975,725.374601
461.17782069054414,5.555001899600029,1024,28.718930815797602,0.0,0.9909613185216983,10.017047478861741,2220.401663,53.676318453755876,Llama 3.2,42,546,33.56858300000001,130.68449700000002,llama32_3b_fp16,7.205903448289752,gpu_npu,iGPU → NPU,FP16,24.957387637958277,0.9861111111111112,0.015653821988529118,1394.278745642604,198,top1_match_all_repeats,True,1,3.0,97.115914,99.6845494,722.954433
