all_tokens_per_s_e2e,all_tokens_per_s_e2e_q25,all_tokens_per_s_e2e_q75,compile_s,context_length,decode_energy_net_psys_j,decode_energy_net_psys_j_q25,decode_energy_net_psys_j_q75,decode_gpu_active_fraction,decode_gpu_active_fraction_q25,decode_gpu_active_fraction_q75,decode_npu_utilization,decode_npu_utilization_q25,decode_npu_utilization_q75,decode_tokens_per_s,decode_tokens_per_s_q25,decode_tokens_per_s_q75,end_to_end_ms,end_to_end_ms_q25,end_to_end_ms_q75,energy_net_psys_j,energy_net_psys_j_q25,energy_net_psys_j_q75,family,final_top1,final_top1_q25,final_top1_q75,first_decode_top1,first_decode_top1_q25,first_decode_top1_q75,handoff_estimate_ms,handoff_estimate_ms_q25,handoff_estimate_ms_q75,handoff_plus_first_decode_ms,handoff_plus_first_decode_ms_q25,handoff_plus_first_decode_ms_q75,model,output_tokens_per_s_e2e,output_tokens_per_s_e2e_q25,output_tokens_per_s_e2e_q75,placement,placement_label,precision,prefill_energy_net_psys_j,prefill_energy_net_psys_j_q25,prefill_energy_net_psys_j_q75,prefill_gpu_active_fraction,prefill_gpu_active_fraction_q25,prefill_gpu_active_fraction_q75,prefill_npu_utilization,prefill_npu_utilization_q25,prefill_npu_utilization_q75,prefill_tokens_per_s,prefill_tokens_per_s_q25,prefill_tokens_per_s_q75,prefill_top1,prefill_top1_q25,prefill_top1_q75,qualification_reason,qualified,size_b,steady_tpot_ms,steady_tpot_ms_q25,steady_tpot_ms_q75,steady_tpot_p95_ms,steady_tpot_p95_ms_q25,steady_tpot_p95_ms_q75,ttft_ms,ttft_ms_q25,ttft_ms_q75
1117.1855798031909,1114.0732308315107,1144.2009980973457,1.1579051027074456,1024,19.09353604290219,18.921476723457403,19.34067183622711,1.0,1.0,1.0,0.0,0.0,0.0,25.393661298258756,25.317242057478495,25.67713548203487,916.588988,895.4468365,919.1568055,28.611885485606145,28.54256725633332,28.86732569164088,Llama 3.2,42.0,42.0,42.0,546.0,546.0,546.0,12.7774825,12.017102750000001,16.257817749999997,50.954615000000004,50.2046335,53.7457075,llama32_1b_fp16,17.456024684424857,17.407394231742355,17.878140595271027,gpu_gpu,iGPU → iGPU,FP16,9.723831623047879,9.373954739550998,9.876530738910652,0.7272727272727273,0.7272727272727273,0.7636363636363637,0.0,0.0,0.0,3093.0644642042917,3085.7021551973376,3246.32784786788,5809.0,5809.0,5809.0,top1_match_all_repeats,True,1.0,38.1771325,37.48788975,38.18753075,40.4363914,39.8993059,41.703343125,325.890395,311.19831550000004,326.66981050000004
1052.3154418836605,994.2170536018668,1052.9690580341635,3.0791938668116927,1024,12.904239807040147,12.679095236534906,13.61279270980014,0.0,0.0,0.0,0.9800818309403341,0.9792375656561463,0.980316751548929,24.523744588437246,22.524626006064725,24.55418117700176,973.092249,972.4885899999999,1033.485331,23.627874328239827,23.431996339312683,24.554141750686142,Llama 3.2,42.0,42.0,42.0,546.0,546.0,546.0,18.176638500000003,18.070738499999997,79.35304550000001,56.186184,56.084556,117.25342900000001,llama32_1b_fp16,16.442428779432195,15.53464146252917,16.452641531783804,gpu_npu,iGPU → NPU,FP16,10.782167684355873,10.752901102777775,10.970615622464102,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.022559751968226304,0.022435452816890113,0.024184731146193753,2786.4753927491456,2781.359988912962,2787.659451585029,5809.0,5809.0,5809.0,top1_match_all_repeats,True,1.0,38.0095455,37.900383500000004,38.0138175,46.445875050000005,46.134178075,46.531075175,361.747318,361.59373100000005,362.41386
190.27354391373697,181.98632581469658,191.2552973505538,14.522015229798853,1024,113.02541073821229,111.81384552714623,115.88857558408418,0.9978021978021978,0.997777503395481,0.9989010989010989,0.029884539373416927,0.029741343766874123,0.030191243715864628,3.0181301006750814,2.874796099998286,3.0358940824260485,5381.725588,5354.241148499999,5638.488759,120.43872194174978,118.91143802372906,122.83111593669486,Llama 3.2,3765.0,2283.5,6352.5,802.0,446.0,4871.0,46.12672950000002,40.091700500000016,361.69630025000004,371.028312,364.872469,683.8172795,llama32_1b_fp16,2.97302412365214,2.843536340854634,2.988364021102403,npu_gpu_combined,NPU + iGPU subgraphs,FP16,6.7818737896281585,6.62682164565603,7.097592496582825,0.0975609756097561,0.0975609756097561,0.09878048780487805,0.8532281554032323,0.8464284669287749,0.8568738286720319,2448.0225791614002,2439.595736287686,2472.5016473670476,5809.0,5809.0,5809.0,top1_mismatch,False,1.0,324.65995449999997,322.00016525,324.7807685,332.3457439,331.72306675,337.86295852499995,411.760908,407.7242235,413.188141
1124.9655155224127,1122.8160514462168,1143.2444159908675,4.770954256877303,1024,19.015142796041655,18.809773954129412,19.206193847998243,0.9811320754716981,0.9811320754716981,0.9813067784765899,0.0,0.0,0.0,25.46414952552676,25.36825249139163,25.49288982916576,910.2501239999998,895.9255114999999,911.9960045,28.60942885214928,28.408044515420862,28.801348017392776,Llama 3.2,42.0,42.0,42.0,546.0,546.0,546.0,10.166610499999999,10.16550225,13.871585749999998,48.279068,48.2489135,51.634328,llama32_1b_fp16,17.5775861800377,17.544000803847137,17.863193999857305,openvino_auto,OpenVINO AUTO (actual iGPU),FP16,9.602255066475285,9.407219509334864,9.790189726534951,0.78125,0.78125,0.8044181034482758,0.0,0.0,0.0,3147.9540954465865,3143.158009828305,3289.0552739895274,5809.0,5809.0,5809.0,baseline,True,1.0,38.0521485,37.73258775,38.08341125,41.2908715,41.05642765,41.8940793,320.207973,307.03606,320.697319
1602.153789107206,1597.1643671835286,1617.1145189628223,1.1849790308624506,2048,18.42189832826378,18.275119704201217,18.813685508001164,1.0,0.990909090909091,1.0,0.0,0.0,0.0,24.565094490356536,24.533837957858978,25.002701786304478,1278.279285,1266.5616934999998,1282.2850475,38.90379185876414,38.744730177947844,38.95703506467657,Llama 3.2,42.0,42.0,42.0,3862.0,3862.0,3862.0,12.980355500000005,12.514868500000002,16.265248000000003,52.48689,51.409315,55.5279295,llama32_1b_fp16,12.516826477400047,12.477846618621317,12.63370717939705,gpu_gpu,iGPU → iGPU,FP16,20.457327416992882,20.131066499921666,20.46961047374662,0.7910447761194029,0.777875329236172,0.8095848880597014,0.0,0.0,0.0,3007.3928910139794,2979.017189348549,3084.6165916339287,8.0,8.0,8.0,top1_match_all_repeats,True,1.0,39.0188285,38.6505935,39.2626815,42.16395955,40.912344225,42.25459372500001,675.668286,659.165996,682.1660465
1290.838768948975,1256.2444644803147,1299.6224448891749,3.8732490157708526,2048,14.992821052866267,14.541626582403119,15.747283847447807,0.0,0.0,0.0,0.9792189724361298,0.9783836433898866,0.9805555954671876,21.91725837821502,20.643837588493696,22.196739571751657,1586.565301,1575.9142689999999,1631.4931575,43.31773556678963,42.70902585326897,43.77945717308406,Llama 3.2,62.0,52.0,68.5,83.0,72.5,226.5,62.070555999999996,52.05048024999999,106.64879775,101.914796,92.0409715,146.5220215,llama32_1b_fp16,10.084677882413867,9.814409878752459,10.153300350696679,gpu_npu,iGPU → NPU,FP16,28.009884027808333,27.87465808257874,28.167399270865847,0.9888888888888889,0.9888264669163546,0.9888888888888889,0.010361647524657163,0.009624569012971432,0.010571911628929277,2252.6610209608502,2252.5001601436343,2257.8706545037676,90.0,90.0,90.0,top1_mismatch,False,1.0,39.902207499999996,39.87322375,40.019475,48.466140249999995,48.388712375,48.52360892499999,902.044285,899.96777,902.1087084999999
1617.1253345520813,1612.4222710484296,1625.374572605017,3.2246395656839013,2048,19.540243040920743,19.160742198540657,19.882879198082538,1.0,0.9910714285714286,1.0,0.0,0.0,0.0,25.110921889340272,24.663340895815324,25.179691792365357,1266.4448180000002,1260.0497075000003,1270.149551,40.58684960059669,40.45688548798479,41.20476929989442,Llama 3.2,42.0,42.0,42.0,3862.0,3862.0,3862.0,12.310220000000003,12.29660675,17.0485105,50.922438,50.7810055,55.9347335,llama32_1b_fp16,12.633791676188135,12.597048992565856,12.698238848476695,openvino_auto,OpenVINO AUTO (actual iGPU),FP16,21.80560824443612,20.953507132282336,22.04402710135377,0.7910447761194029,0.7910447761194029,0.8082208007581142,0.0,0.0,0.0,3022.238957969607,3012.9569016839673,3113.078960503806,8.0,8.0,8.0,baseline,True,1.0,38.6394445,38.48439875,38.89983625000001,41.38146835,41.082289200000005,41.8045908,672.3492180000001,653.2862500000001,674.4269340000001
1751.1104518795883,1749.6682878402585,1771.2671377257325,1.166511282324791,4096,20.1610555627554,19.914657671449696,20.52498099053282,0.9827586206896551,0.9826073805202662,0.9913793103448276,0.0,0.0,0.0,23.812829937474554,23.522170856323314,23.832966702447706,2339.0871750000006,2312.7683080000006,2341.0167580000007,72.45499675437996,72.0342799550997,72.83194131203624,Llama 3.2,42.0,42.0,42.0,3862.0,3862.0,3862.0,20.376389500000002,20.100480250000004,23.221544,60.345018,60.0690785,63.59227800000001,llama32_1b_fp16,6.840275202654642,6.83464174937601,6.9190122567411425,gpu_gpu,iGPU → iGPU,FP16,51.94530337567546,51.755696855872586,52.496566841306276,0.8352941176470589,0.834806822137139,0.8470949115842656,0.0,0.0,0.0,2387.117089941522,2383.689314159418,2436.8736578563226,72.0,72.0,72.0,top1_match_all_repeats,True,1.0,39.9686285,39.96859825,40.370734,43.72544909999999,43.60656337499999,43.8626747,1709.174643,1674.974679,1711.6359975
1458.0934344386096,1438.5509276741732,1458.6340561795007,4.908063311129808,4096,15.486039834949413,15.004379713415492,16.05806937055155,0.0,0.0,0.0,0.9782688564051516,0.9779652779623964,0.9809365458221107,19.82939927041136,18.858617239906152,19.836092125024287,2809.1478249999996,2808.1070405,2847.8352559999994,80.49619676760318,79.46282440547519,80.7815847164448,Llama 3.2,83.0,49.5,4017.5,285.0,150.5,4118.5,87.09321399999999,86.42556124999999,131.4625865,129.952624,129.4221865,174.267168,llama32_1b_fp16,5.695677478275819,5.619339561227239,5.697789281951175,gpu_npu,iGPU → NPU,FP16,64.43687375913271,64.17180310529918,64.72351534589325,0.9901477832512315,0.9901477832512315,0.9901477832512315,0.0037964719670027475,0.0037808623063795973,0.004302331003184381,1989.1532817151763,1988.3919639277287,1990.6879113264285,36802.0,18446.0,36802.0,top1_mismatch,False,1.0,42.859410000000004,42.8045815,42.99662525000001,51.68753355,51.0191984,52.195349074999996,2051.123982,2049.54398,2051.9096195
1753.5006315521923,1746.896288732567,1777.7545518686295,1.496285448782146,4096,20.150184163706534,19.51965339737106,20.61706409612603,1.0,0.9912280701754386,1.0,0.0,0.0,0.0,23.802358204040285,23.528998067892715,23.906507835252988,2335.8987879999995,2304.4590339999995,2344.7634364999994,72.66484965943805,70.28267134196332,73.78976269620618,Llama 3.2,42.0,42.0,42.0,3862.0,3862.0,3862.0,21.885813000000002,20.98149075,23.6459015,61.732753,60.7814695,64.007945,llama32_1b_fp16,6.849611842000751,6.82381362786159,6.944353718236834,openvino_auto,OpenVINO AUTO (actual iGPU),FP16,52.51466549573151,50.763017944592264,53.17269860008015,0.8402366863905325,0.8382469981660265,0.8486897717666948,0.0,0.0,0.0,2384.324882993946,2375.842675861203,2445.222612528704,72.0,72.0,72.0,baseline,True,1.0,39.84694,39.799978749999994,40.3620435,43.18287125,43.127451750000006,43.33648785,1711.176203,1669.5953005000001,1717.3073144999998
