all_tokens_per_s_e2e,context_length,decode_device,decode_energy_net_psys_j,decode_ms,decode_tokens_per_s,end_to_end_ms,energy_net_psys_j,family,handoff_plus_first_decode_ms,internal_overhead_ms,mode,model,output_tokens,output_tokens_per_s_e2e,precision,prefill_device,prefill_energy_net_psys_j,prefill_tokens_per_s,repeat,route,route_label,size_b,source_model,steady_tpot_ms,steady_tpot_p95_ms,ttft_ms
2755.971541708674,1024,iGPU,8.165714039596986,199.74969500000003,75.09398199581732,371.55681200000004,12.128525489384938,Qwen2.5,48.300677,0.0,measured,qwen25_0_5b,16,43.06205533919803,INT8,iGPU,3.9628114497879516,5867.044495019377,0,gpu_full,Whole iGPU,0.5,qwen25_0_5b_int8,9.6898955,12.9956709,171.807117
441.0235999088754,1024,NPU,35.74272166558765,2018.6886980000002,7.43056619619515,2321.871211,39.66416843113092,Qwen2.5,252.038574,0.0,measured,qwen25_0_5b,16,6.890993748576178,INT8,NPU,3.9214467655432665,3324.730011720696,0,npu_full,Whole NPU,0.5,qwen25_0_5b_int8,123.0124375,138.70088554999998,303.182513
2036.0596989246708,1024,iGPU,8.165714039596986,199.74969500000003,75.09398199581732,502.932208,12.087160805140254,Qwen2.5,48.300677,0.0,overhead_free_oracle,qwen25_0_5b,16,31.81343279569798,INT8,NPU,3.9214467655432665,3324.730011720696,0,npu_gpu_oracle,NPU prefill + iGPU decode · oracle,0.5,qwen25_0_5b_int8,9.6898955,12.9956709,303.182513
467.4740727591848,1024,NPU,35.74272166558765,2018.6886980000002,7.43056619619515,2190.495815,39.7055331153756,Qwen2.5,252.038574,0.0,overhead_free_oracle,qwen25_0_5b,16,7.304282386862263,INT8,iGPU,3.9628114497879516,5867.044495019377,0,gpu_npu_oracle,iGPU prefill + NPU decode · oracle,0.5,qwen25_0_5b_int8,123.0124375,138.70088554999998,171.807117
2735.119265783729,1024,iGPU,7.068385061294885,173.87614800000006,86.26830173394455,374.38952400000005,11.999113096942306,Qwen2.5,23.977131,0.0,measured,qwen25_0_5b,16,42.73623852787077,INT8,iGPU,4.930728035647421,5027.096047697088,1,gpu_full,Whole iGPU,0.5,qwen25_0_5b_int8,9.485494000000001,12.87448385,200.513376
477.3443916613269,1024,NPU,33.73436277979345,1841.0036800000003,8.14772950372375,2145.201699,37.677082543824994,Qwen2.5,125.401178,0.0,measured,qwen25_0_5b,16,7.4585061197082325,INT8,NPU,3.9427197640315423,3313.631046361285,1,npu_full,Whole NPU,0.5,qwen25_0_5b_int8,122.5280735,123.18078150000001,304.198019
2141.927070491554,1024,iGPU,7.068385061294885,173.87614800000006,86.26830173394455,478.07416700000005,11.011104825326427,Qwen2.5,23.977131,0.0,overhead_free_oracle,qwen25_0_5b,16,33.46761047643053,INT8,NPU,3.9427197640315423,3313.631046361285,1,npu_gpu_oracle,NPU prefill + iGPU decode · oracle,0.5,qwen25_0_5b_int8,9.485494000000001,12.87448385,304.198019
501.5877761052612,1024,NPU,33.73436277979345,1841.0036800000003,8.14772950372375,2041.5170560000001,38.66509081544087,Qwen2.5,125.401178,0.0,overhead_free_oracle,qwen25_0_5b,16,7.837309001644706,INT8,iGPU,4.930728035647421,5027.096047697088,1,gpu_npu_oracle,iGPU prefill + NPU decode · oracle,0.5,qwen25_0_5b_int8,122.5280735,123.18078150000001,200.513376
2608.855296128986,1024,iGPU,6.9196713887383385,174.99770300000003,85.71541079027763,392.509313,11.751761541114288,Qwen2.5,23.802499,0.0,measured,qwen25_0_5b,16,40.76336400201541,INT8,iGPU,4.832090152375949,4634.235386331792,2,gpu_full,Whole iGPU,0.5,qwen25_0_5b_int8,9.8245955,13.142394750000001,217.51161
476.8324022771677,1024,NPU,32.54605075002335,1847.7494350000002,8.117983810938089,2147.505067,36.45833160418302,Qwen2.5,125.945494,0.0,measured,qwen25_0_5b,16,7.450506285580746,INT8,NPU,3.912280854159677,3362.7391528043086,2,npu_full,Whole NPU,0.5,qwen25_0_5b_int8,123.029295,123.3848382,299.755632
2156.909545459012,1024,iGPU,6.9196713887383385,174.99770300000003,85.71541079027763,474.753335,10.831952242898016,Qwen2.5,23.802499,0.0,overhead_free_oracle,qwen25_0_5b,16,33.70171164779706,INT8,NPU,3.912280854159677,3362.7391528043086,2,npu_gpu_oracle,NPU prefill + iGPU decode · oracle,0.5,qwen25_0_5b_int8,9.8245955,13.142394750000001,299.755632
495.8210984897553,1024,NPU,32.54605075002335,1847.7494350000002,8.117983810938089,2065.261045,37.378140902399295,Qwen2.5,125.945494,0.0,overhead_free_oracle,qwen25_0_5b,16,7.747204663902426,INT8,iGPU,4.832090152375949,4634.235386331792,2,gpu_npu_oracle,iGPU prefill + NPU decode · oracle,0.5,qwen25_0_5b_int8,123.029295,123.3848382,217.51161
3494.392034839116,2048,iGPU,8.46749932103388,213.170409,70.3662392466489,586.081922,17.691698367917983,Qwen2.5,51.120277,0.0,measured,qwen25_0_5b,16,27.299937772180595,INT8,iGPU,9.224199046884102,5449.013852248644,0,gpu_full,Whole iGPU,0.5,qwen25_0_5b_int8,10.842264,13.5699021,372.91151299999996
800.3257450833387,2048,NPU,35.59659167287343,1979.169083,7.578938115415175,2558.95804,45.4742020181055,Qwen2.5,250.038669,0.0,measured,qwen25_0_5b,16,6.2525448834635835,INT8,NPU,9.877610345232068,3504.723529944707,0,npu_full,Whole NPU,0.5,qwen25_0_5b_int8,122.96158700000001,125.70908415000001,579.788957
